episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,38.1,245125.5,601732,499872,99.6000,98.8500,96.6000,89.8000,59.1500,0.0500,197340.92,415.40
4000,76.8,249369.3,386904,499576,99.8000,98.8500,96.6500,89.9000,61.0500,0.0000,196999.35,411.98
6000,115.7,247744.2,529552,498317,99.7500,99.3000,96.6500,90.3500,58.8500,0.0500,196994.14,412.44
8000,155.2,247526.7,387352,495224,99.6000,98.8000,96.1500,89.7000,60.1500,0.0000,197064.80,413.23
10000,194.9,252192.7,509092,494497,99.8500,99.2500,97.0500,91.2000,61.9500,0.0500,196806.23,412.50
12000,234.5,250585.0,508120,493979,99.6500,98.7500,97.0500,90.1500,62.0500,0.0500,197064.27,414.62
14000,273.1,244596.3,476928,493642,99.8500,98.9000,96.1000,89.4000,58.8000,0.0500,197290.90,414.02
16000,312.4,249156.3,441748,493444,99.7000,98.9000,96.9500,90.5000,60.5000,0.0000,197097.65,415.98
18000,351.1,246221.0,387660,493457,99.8500,99.0000,96.8500,89.2000,60.2500,0.0000,197277.11,416.09
20000,390.1,249724.5,488712,493763,99.7500,99.1500,97.3500,90.6000,60.9500,0.0500,197244.09,415.95
22000,428.5,251661.2,507068,495005,99.9000,99.2000,97.1500,90.2000,62.2000,0.1500,197097.30,413.59
24000,466.2,247871.0,388788,496196,99.7000,98.7500,96.4000,88.7500,60.6500,0.0000,197225.07,416.13
26000,503.9,247566.7,531248,497307,99.7500,98.9000,96.0000,89.4500,59.7500,0.0500,197126.65,417.86
28000,542.7,250150.2,530088,497468,99.8000,99.2500,96.9500,89.9000,61.0500,0.0500,197117.70,413.66
30000,580.9,250879.6,405160,498246,99.7500,99.2000,97.2500,89.8000,61.4500,0.0000,196682.21,418.60
32000,619.8,248076.5,533436,497995,99.7000,98.9500,96.5500,89.5500,60.3500,0.0500,197450.63,414.78
34000,658.9,251044.4,386768,498000,99.9500,99.3500,97.2500,90.8000,61.1500,0.0000,197736.35,409.57
36000,697.8,247551.6,387068,497787,99.5500,99.0000,96.8500,91.0500,59.2500,0.0000,197590.02,417.25
38000,736.8,249958.2,530320,497759,99.9000,99.3000,97.2000,91.0500,60.3000,0.1500,197358.65,419.18
40000,776.1,249408.0,556976,497500,99.6500,98.7500,96.3500,90.1500,60.2500,0.1000,197230.73,416.81
42000,814.4,244471.3,532904,497398,99.3500,98.5500,96.6000,89.5000,58.4000,0.1000,197737.36,418.97
44000,853.7,249320.4,527760,497160,99.7500,99.0000,97.5000,90.6000,60.5500,0.0500,197397.82,418.81
46000,893.4,250837.5,550696,496805,99.7000,99.0000,96.7000,89.5500,62.0500,0.0500,197246.37,417.54
48000,932.7,249130.2,386968,496601,99.8000,98.9000,96.6500,90.0500,61.3500,0.0000,197703.77,415.84
50000,971.0,245328.4,499548,496612,99.7000,98.9000,96.3000,89.5500,58.9500,0.0500,197719.50,421.59
52000,1010.1,249053.0,388380,496549,99.8000,99.2000,96.8000,90.2500,60.4500,0.0000,197821.09,415.07
54000,1049.0,248410.0,587772,496462,99.7500,98.9000,96.4500,89.3500,61.4500,0.1500,197934.03,414.48
56000,1088.8,246887.1,476312,495925,99.5500,98.6500,95.8000,89.6000,60.0500,0.0500,198011.45,415.56
58000,1128.6,246607.9,531380,495384,99.5500,98.7500,96.5500,89.4500,60.0500,0.1000,197964.68,415.38
60000,1167.8,249630.5,488712,495335,99.8500,99.1500,97.2500,90.5000,60.7500,0.0500,198096.98,411.74
62000,1207.6,253580.6,488984,495297,99.7000,98.8500,96.8000,90.5000,62.8500,0.0500,197405.49,415.34
64000,1247.1,252879.6,529208,495280,99.8500,99.0500,97.1000,90.5000,62.1500,0.1000,197463.75,417.66
66000,1286.1,249156.4,524180,495299,99.8500,99.2500,97.1000,89.9500,60.5500,0.1000,198036.50,416.08
68000,1325.3,249563.8,525864,495255,99.7000,98.8000,96.8000,90.0000,60.6000,0.0500,198019.74,416.60
70000,1363.6,243173.9,436540,495219,99.5500,98.4500,96.2000,90.2000,57.7000,0.0000,198824.80,413.85
72000,1402.4,247652.1,514176,495181,99.7500,98.9000,96.3500,89.2000,61.3500,0.0500,198389.90,416.92
74000,1442.2,251193.8,519220,495023,99.8500,99.3500,96.8500,90.0500,61.6500,0.1000,197845.54,415.70
