score,max_tile,moves
355516,16384,13291
37848,2048,1973
164300,8192,6755
177632,8192,7480
328900,16384,12280
176560,8192,7387
173328,8192,7219
146248,8192,5968
37208,2048,1929
385348,16384,14748
186876,8192,7599
162528,8192,6656
339240,16384,12856
340004,16384,12872
177120,8192,7431
78472,4096,3597
177016,8192,7433
245180,16384,9231
173108,8192,7224
176536,8192,7408
382088,16384,14562
72028,4096,3319
132176,8192,5507
177272,8192,7425
338456,16384,12718
337004,16384,12694
112924,8192,4675
367088,16384,13947
87652,4096,4083
37888,2048,1985
284528,16384,10818
155360,8192,6402
132868,8192,5568
79340,4096,3623
166204,8192,6994
141908,8192,5956
332908,16384,12506
12492,1024,751
364436,16384,13849
383664,16384,14636
146044,8192,5930
263756,16384,10067
177028,8192,7418
245216,16384,9252
172572,8192,7175
79068,4096,3622
133180,8192,5630
333508,16384,12576
270560,16384,10247
286108,16384,10894
151308,8192,6181
313832,16384,11626
290496,16384,11182
176364,8192,7359
323504,16384,12160
271532,16384,10330
342468,16384,12992
342576,16384,13002
383200,16384,14655
290064,16384,11123
125508,8192,5248
175620,8192,7356
80724,4096,3748
354188,16384,13278
296320,16384,11375
168264,8192,6994
367128,16384,13962
269992,16384,10202
373636,16384,14127
276692,16384,10417
177216,8192,7439
292708,16384,11287
170704,8192,7028
376580,16384,14376
155040,8192,6403
278336,16384,10571
171892,8192,7180
338320,16384,12768
31088,2048,1628
177152,8192,7442
317324,16384,11858
176640,8192,7406
342848,16384,13023
246076,16384,9289
147752,8192,6031
361380,16384,13584
342500,16384,13026
227936,16384,8519
380844,16384,14523
342224,16384,12984
58944,4096,2715
167380,8192,6901
80200,4096,3708
269580,16384,10178
162484,8192,6632
365272,16384,13812
289816,16384,11093
383444,16384,14664
288016,16384,11054
263456,16384,9943
9288,512,647
172036,8192,7217
175048,8192,7292
284792,16384,10834
45212,2048,2333
172548,8192,7157
177592,8192,7496
131852,8192,5507
313400,16384,11641
133208,8192,5605
132992,8192,5599
351768,16384,13106
177008,8192,7434
367080,16384,13944
164080,8192,6732
29072,2048,1538
172668,8192,7191
281396,16384,10732
339308,16384,12821
261508,16384,9809
176176,8192,7351
127412,8192,5240
364944,16384,13843
156984,8192,6483
362248,16384,13650
226812,16384,8446
174776,8192,7277
177704,8192,7511
361616,16384,13650
356068,16384,13345
259776,16384,9680
173276,8192,7223
171736,8192,7142
314948,16384,11731
176428,8192,7371
322656,16384,12100
28180,2048,1492
164696,8192,6804
382572,16384,14622
225436,16384,8355
261556,16384,9816
364472,16384,13757
290340,16384,11183
171412,8192,7071
156492,8192,6484
141568,8192,6004
163616,8192,6724
279312,16384,10549
360076,16384,13617
378660,16384,14491
362764,16384,13757
128648,8192,5322
364604,16384,13779
284892,16384,10833
176648,8192,7409
342552,16384,12964
381592,16384,14564
336928,16384,12665
291752,16384,11246
365516,16384,13874
293684,16384,11271
166488,8192,6869
381264,16384,14520
80496,4096,3735
128572,8192,5307
356724,16384,13597
253648,16384,9667
366608,16384,13954
176924,8192,7441
341916,16384,12934
132236,8192,5534
384196,16384,14637
177180,8192,7449
53076,4096,2453
366232,16384,13873
28996,2048,1531
277528,16384,10609
340400,16384,12840
172096,8192,7122
149008,8192,6135
176168,8192,7354
284464,16384,10827
98168,4096,4500
355492,16384,13324
361388,16384,13632
374252,16384,14228
171240,8192,7078
378156,16384,14415
384312,16384,14649
171784,8192,7149
340236,16384,12836
247804,16384,9405
119936,8192,4891
321056,16384,11987
342076,16384,12962
304112,16384,11693
33348,2048,1662
322840,16384,12096
365496,16384,13864
78044,4096,3555
333880,16384,12558
222512,16384,8180
12852,1024,769
309444,16384,11995
364588,16384,13822
157156,8192,6533
167136,8192,6871
330040,16384,12356
358120,16384,13657
288012,16384,10974
78624,4096,3588
362900,16384,13713
88652,4096,4132
357232,16384,13393
177008,8192,7436
109524,8192,4481
375536,16384,14252
168192,8192,6970
80048,4096,3693
79740,4096,3670
342748,16384,12981
26360,2048,1385
362980,16384,13741
323004,16384,12110
301536,16384,11640
386656,16384,14871
285748,16384,10892
221860,16384,8137
328412,16384,12238
367980,16384,14041
175332,8192,7320
80468,4096,3722
289896,16384,11157
140804,8192,5968
288916,16384,11097
335620,16384,12684
366436,16384,13911
281444,16384,10680
270652,16384,10269
240736,16384,8997
150088,8192,6210
79460,4096,3653
342464,16384,13023
384412,16384,14674
289856,16384,11151
170280,8192,7128
103972,8192,4223
342452,16384,12989
176208,8192,7364
290604,16384,11215
279872,16384,10601
363272,16384,13757
174808,8192,7265
28836,2048,1514
384368,16384,14679
176716,8192,7425
38336,2048,1981
342108,16384,12955
342904,16384,13021
167476,8192,6940
288752,16384,11068
290052,16384,11152
120704,8192,4955
172612,8192,7188
342768,16384,13019
357020,16384,13559
290448,16384,11166
80352,4096,3721
365164,16384,13830
171496,8192,7088
309960,16384,11422
337392,16384,12696
290376,16384,11185
133028,8192,5608
173284,8192,7225
164624,8192,6818
17668,1024,1007
174616,8192,7292
80404,4096,3715
288388,16384,11060
167920,8192,6951
27776,2048,1453
107880,8192,4437
79648,4096,3683
132136,8192,5555
334084,16384,12626
39528,2048,2058
167568,8192,6942
176924,8192,7424
323120,16384,12143
123676,8192,5107
58348,4096,2665
284964,16384,10858
175332,8192,7300
166172,8192,6982
108940,8192,4447
338656,16384,12763
337128,16384,12650
174384,8192,7214
130064,8192,5382
80644,4096,3739
168360,8192,7001
342264,16384,12992
283788,16384,10855
289832,16384,11140
249244,8192,9985
290300,16384,11150
171328,8192,7095
172408,8192,7158
376580,16384,14336
135208,8192,5704
318640,16384,11853
132188,8192,5538
177400,8192,7485
28088,2048,1454
365284,16384,13800
270276,16384,10240
366420,16384,13907
122272,8192,5027
263636,16384,9902
246184,16384,9317
156380,8192,6454
314260,16384,11701
364900,16384,13831
34040,2048,1761
177300,8192,7454
377544,16384,14380
381116,16384,14559
246136,16384,9326
132196,8192,5512
76508,4096,3503
177504,8192,7479
132624,8192,5530
270676,16384,10308
156724,8192,6456
383160,16384,14686
163360,8192,6659
333364,16384,12541
173108,8192,7182
177200,8192,7450
37792,2048,1972
34840,2048,1818
361816,16384,13670
176596,8192,7408
382564,16384,14612
339576,16384,12830
171540,8192,7125
174996,8192,7302
285008,16384,10874
177336,8192,7467
172264,8192,7225
315440,16384,11727
342704,16384,13002
177204,8192,7436
290236,16384,11135
381956,16384,14575
176976,8192,7440
289416,16384,11089
37976,2048,1993
287912,16384,10969
315100,16384,11666
366324,16384,13852
290344,16384,11161
177252,8192,7442
173048,8192,7203
60500,4096,2811
351556,16384,13307
99832,8192,3967
173352,8192,7224
285132,16384,10916
268968,16384,10134
289740,16384,11123
173064,8192,7191
288720,16384,11043
72532,4096,3332
320432,16384,11959
186704,8192,7810
80872,4096,3772
81676,4096,3798
313124,16384,11657
172188,8192,7143
168328,8192,7004
171752,8192,7125
254648,16384,9772
284196,16384,10815
137832,8192,5786
60288,4096,2801
176980,8192,7424
266004,16384,9973
381688,16384,14588
382848,16384,14644
305980,16384,11790
177248,8192,7451
284816,16384,10914
366276,16384,13899
175596,8192,7354
356468,16384,13383
172492,8192,7154
316996,16384,11742
343736,16384,13065
168072,8192,6990
128336,8192,5328
340368,16384,12835
177180,8192,7430
341028,16384,12936
142728,8192,6112
176432,8192,7384
367264,16384,13990
290388,16384,11152
177316,8192,7463
162296,8192,6653
164436,8192,6756
170668,8192,7025
289672,16384,11104
155672,8192,6455
132780,8192,5564
285168,16384,10865
354056,16384,13267
337104,16384,12643
176528,8192,7409
281576,16384,10745
175280,8192,7324
238020,16384,8875
279536,16384,10703
277672,16384,10490
166132,8192,6860
287180,16384,10990
351488,16384,13062
347356,16384,13053
285784,16384,10901
358168,16384,13522
78892,4096,3638
246160,16384,9315
171596,8192,7119
383392,16384,14695
27960,2048,1482
177620,8192,7478
290308,16384,11136
298904,16384,11443
286336,16384,10927
80252,4096,3727
177216,8192,7455
343712,16384,13079
369652,16384,14123
372512,16384,14056
174484,8192,7249
171772,8192,7129
173444,8192,7242
291020,16384,11187
103840,8192,4191
177084,8192,7471
320728,16384,11943
328264,16384,12348
80260,4096,3708
176356,8192,7420
290728,16384,11241
286072,16384,10948
341096,16384,12906
377984,16384,14427
177068,8192,7428
367908,16384,14028
173160,8192,7198
268512,16384,10144
76320,4096,3487
342836,16384,13046
381416,16384,14521
171328,8192,7067
167932,8192,6969
175544,8192,7342
246252,16384,9289
289696,16384,11110
9600,512,655
148236,8192,6071
381296,16384,14518
324992,16384,12192
327840,16384,12323
245488,16384,9288
171664,8192,7091
84896,4096,3923
36340,2048,1895
358116,16384,13485
280724,16384,10635
356496,16384,13364
356108,16384,13367
172992,8192,7212
366924,16384,13955
175400,8192,7296
289380,16384,11097
177248,8192,7446
246192,16384,9312
266276,16384,10021
334012,16384,12590
156988,8192,6526
276240,16384,10395
342600,16384,12967
157132,8192,6514
58532,4096,2679
290596,16384,11207
239168,16384,8990
278996,16384,10647
333364,16384,12482
259768,16384,9689
89868,4096,4240
51768,4096,2357
20028,1024,1165
166568,8192,6890
175456,8192,7333
322604,16384,12086
133032,8192,5588
285832,16384,10893
177808,8192,7502
173220,8192,7208
154776,8192,6390
288772,16384,11061
346372,16384,13248
288588,16384,11027
303736,16384,11657
173336,8192,7228
124088,8192,5159
173344,8192,7235
190904,8192,7971
43404,2048,2206
176852,8192,7397
163928,8192,6721
290276,16384,11132
174944,8192,7306
374140,16384,14218
177244,8192,7446
342772,16384,13004
361972,16384,13686
155480,8192,6402
267904,16384,10044
292736,16384,11295
153508,8192,6328
80468,4096,3715
39420,2048,2047
261344,16384,9801
282752,16384,10782
171128,8192,7072
56364,4096,2562
339900,16384,12846
377568,16384,14386
132828,8192,5602
166560,8192,6868
290460,16384,11174
333140,16384,12534
158108,8192,6566
177184,8192,7430
308864,16384,12000
352464,16384,13194
288708,16384,11024
366844,16384,13956
338148,16384,12724
176220,8192,7358
333700,16384,12703
380332,16384,14423
26524,2048,1378
235440,16384,8744
334064,16384,12642
377456,16384,14380
331840,16384,12558
260296,16384,9729
243160,16384,9169
175436,8192,7327
318808,16384,11824
84064,4096,3910
341392,16384,12969
164524,8192,6780
175208,8192,7311
308356,16384,11937
174196,8192,7257
375500,16384,14222
176472,8192,7381
366736,16384,13970
281136,16384,10700
170552,8192,7022
166428,8192,6866
168056,8192,6986
362696,16384,13680
131492,8192,5511
174676,8192,7266
177088,8192,7418
275408,16384,10351
168452,8192,7009
146904,8192,5999
264748,16384,9928
172364,8192,7135
289916,16384,11149
176996,8192,7433
57156,4096,2636
69788,4096,3167
291608,16384,11201
380740,16384,14494
364832,16384,13816
176964,8192,7425
37768,2048,1986
79836,4096,3698
168572,8192,7023
342904,16384,13038
78876,4096,3629
342260,16384,12940
338464,16384,12792
364980,16384,13835
380548,16384,14480
177172,8192,7440
167424,8192,6924
376404,16384,14293
37852,2048,1974
141808,8192,6048
175608,8192,7353
286328,16384,10937
175660,8192,7366
290428,16384,11171
342996,16384,13038
386716,16384,14886
175288,8192,7306
175548,8192,7342
5148,256,390
78796,4096,3630
361312,16384,13603
368172,16384,14021
177124,8192,7415
156148,8192,6437
288564,16384,11058
168340,8192,6996
318572,16384,11846
160344,8192,6715
164416,8192,6789
331208,16384,12512
166548,8192,6884
124116,8192,5134
60140,4096,2780
373484,16384,14139
281636,16384,10761
158488,8192,6561
177236,8192,7452
286252,16384,10938
156988,8192,6484
336720,16384,12613
171400,8192,7090
175304,8192,7317
172468,8192,7150
338680,16384,12778
331692,16384,12522
177000,8192,7429
245864,16384,9280
342056,16384,12964
136044,4096,6088
357104,16384,13591
371576,16384,14027
111180,8192,4554
79900,4096,3682
381076,16384,14487
361748,16384,13667
132996,8192,5589
323980,16384,12190
71464,4096,3281
173468,8192,7254
177292,8192,7458
155444,8192,6397
175564,8192,7378
383204,16384,14648
268068,16384,10095
163292,8192,6711
171560,8192,7109
132884,8192,5585
342032,16384,12943
344596,16384,13092
245464,16384,9333
164620,8192,6729
177072,8192,7408
381360,16384,14522
153208,8192,6296
141320,8192,5996
246220,16384,9331
365964,16384,13843
290168,16384,11138
295812,16384,11280
172980,8192,7197
80708,4096,3729
141856,8192,6041
332600,16384,12609
268788,16384,10174
288780,16384,11075
383084,16384,14665
359184,16384,13583
174764,8192,7271
235404,16384,8740
167948,8192,6958
175316,8192,7284
340964,16384,12894
342888,16384,13021
124776,8192,5188
153252,8192,6325
268272,16384,10093
35448,2048,1821
360264,16384,13760
87564,4096,3966
218072,16384,8000
290656,16384,11207
375800,16384,14269
134024,8192,5652
60776,4096,2840
342516,16384,12967
275684,16384,10352
171840,8192,7131
176656,8192,7405
362300,16384,13642
165776,8192,6825
19988,1024,1158
362064,16384,13632
128720,8192,5313
168216,8192,6981
357080,16384,13410
58848,4096,2723
161736,8192,6570
139796,8192,5877
280960,16384,10716
289908,16384,11142
382944,16384,14603
354172,16384,13314
367016,16384,13991
164328,8192,6756
367264,16384,14008
274452,16384,10230
327020,16384,12378
163556,8192,6728
156700,8192,6486
