timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T14:02:08+00:00,runs/r6_a10.bin,600,249992,281060,76364,373976,556620,9693,99.33,98.00,89.83,61.33,0.33,1
2026-08-06T14:14:40+00:00,runs/r6_a10.bin,600,253360,285612,78792,373164,387300,9818,98.67,98.00,92.17,61.67,0.00,1
2026-08-06T14:30:07+00:00,runs/r6_a10.bin,600,241538,268628,69492,376384,528976,9408,99.33,96.50,88.17,56.17,0.17,0
2026-08-06T14:45:33+00:00,runs/r6_a10.bin,600,241323,275748,59988,365932,386972,9386,98.83,96.33,88.50,57.33,0.00,0
2026-08-06T15:01:02+00:00,runs/r6_a10.bin,600,245434,270580,76352,367348,402828,9540,99.00,97.50,92.17,57.33,0.00,0
2026-08-06T15:16:31+00:00,runs/r6_a10.bin,600,252104,283896,70440,372376,527316,9753,99.17,97.17,90.00,62.67,0.50,0
2026-08-06T15:31:58+00:00,runs/r6_a10.bin,600,249751,279400,75344,375636,531124,9683,98.67,96.33,91.50,61.00,0.17,0
2026-08-06T15:44:25+00:00,runs/r6_a10.bin,600,251933,281388,71712,369844,456288,9755,98.67,97.00,90.83,62.50,0.00,0
2026-08-06T15:59:52+00:00,runs/r6_a10.bin,600,251183,285264,70564,375952,386924,9723,99.17,97.00,90.50,62.67,0.00,0
