episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,2164.0,251284.7,514824,492199,99.8000,99.0000,96.9000,90.5500,61.1500,0.0500,197886.34,414.35
112000,2203.9,250174.7,414348,492103,99.6500,99.0500,97.1000,90.9000,61.0500,0.0000,198295.36,411.40
114000,2243.2,250708.5,567632,492125,99.6000,98.7000,96.5000,89.7500,62.7000,0.0500,198274.11,410.36
116000,2282.3,248856.6,387264,492147,99.8500,99.0500,96.1500,89.3500,61.2500,0.0000,198155.41,413.74
118000,2321.8,249846.7,387348,492126,99.7000,98.9000,96.7500,89.8000,61.1000,0.0000,198129.45,414.41
120000,2360.8,246948.2,512444,492104,99.9000,99.1500,96.8000,90.4000,59.4500,0.0500,198751.66,411.74
122000,2400.2,248860.0,577164,492064,99.7500,98.7000,95.5500,89.1000,61.0000,0.1500,198212.99,415.31
124000,2439.5,249181.0,387360,492062,99.6500,98.9500,96.5000,89.9000,60.9500,0.0000,198486.60,412.93
126000,2479.2,251297.1,527308,492046,99.7500,98.9500,96.1000,89.6500,62.4500,0.0500,198028.29,414.43
128000,2518.6,249561.7,466212,492031,99.6000,99.1000,96.5500,90.0500,60.6000,0.0500,198395.91,411.76
130000,2558.7,250114.2,434280,491894,99.7500,98.6500,96.2500,90.8500,60.6000,0.0000,198219.48,413.07
132000,2598.1,248057.5,513208,491856,99.6000,98.4000,95.6000,89.1500,60.3500,0.0500,198479.04,411.67
134000,2637.9,251898.9,477724,491830,99.8000,99.1000,96.7000,90.8000,61.8500,0.1000,198281.58,414.40
136000,2676.1,249942.8,509260,492047,99.6500,98.7500,96.5000,90.9000,60.9500,0.0500,198555.35,411.88
138000,2715.2,245511.8,532532,491983,99.6000,98.6000,95.7500,88.4000,59.4500,0.1000,198869.41,411.95
140000,2754.3,248527.9,403080,491990,99.7000,99.2500,96.3000,89.4500,61.6000,0.0000,198644.87,414.62
142000,2795.2,252200.8,387516,491787,99.9000,99.1000,96.6500,90.1500,62.3000,0.0000,198080.56,414.65
144000,2833.9,247846.9,478120,491839,99.7500,98.7000,96.4000,89.1500,60.1500,0.0500,198557.14,412.99
146000,2872.8,251076.7,387400,491967,99.7000,99.1000,96.3500,90.7500,61.8500,0.0000,198560.70,413.06
148000,2911.6,248762.6,532428,492036,99.7500,99.2500,96.6500,90.7000,60.2000,0.0500,198828.81,413.42
150000,2950.9,249542.2,511008,492032,99.7500,99.0500,97.2000,90.8000,61.0000,0.1000,198918.58,413.95
152000,2990.4,249100.2,489008,492000,99.7000,98.6000,96.3500,90.2000,60.7500,0.0500,198688.94,411.94
154000,3030.1,248512.1,512500,491919,99.8000,98.9000,96.8000,90.8000,60.2000,0.0500,198843.40,416.53
156000,3070.2,250416.9,386976,491806,99.8500,98.8500,96.3500,90.2500,61.4000,0.0000,198567.20,414.40
158000,3109.9,250950.0,533140,491789,99.7000,99.1500,97.0500,90.7500,62.0000,0.1000,198709.45,414.90
160000,3149.0,248707.2,410464,491813,99.7500,98.6500,96.3500,90.3500,60.9500,0.0000,198861.04,416.15
162000,3188.3,250449.5,514140,491837,99.9000,99.0000,96.4000,90.7500,61.8500,0.0500,198965.85,413.70
164000,3227.3,253777.4,561352,491977,99.6500,99.1000,96.8500,91.0000,62.7500,0.1500,198623.76,411.51
166000,3265.8,248579.1,495820,492092,99.8500,98.9000,96.6000,90.2000,60.4500,0.1000,198876.49,415.47
168000,3305.2,253299.5,530204,492158,99.8500,99.3000,97.4500,90.7500,62.5500,0.1000,198570.81,415.46
170000,3344.3,248410.3,520600,492162,99.8500,98.8500,96.4500,89.2500,60.2500,0.1000,198857.36,415.17
172000,3383.7,250518.6,478704,492171,99.7000,99.1000,96.1000,89.6500,62.0500,0.0500,199050.64,412.20
174000,3422.6,249246.1,401012,492221,99.7500,99.2500,97.1000,90.1500,60.7000,0.0000,198917.26,415.36
176000,3461.8,249912.8,528152,492254,99.8500,99.2000,96.7000,89.8000,61.0000,0.1000,198812.53,413.81
178000,3501.0,252931.6,417944,492332,99.7500,99.1000,96.8500,90.7000,61.9000,0.0000,198444.74,415.06
180000,3540.9,253062.2,501568,492322,99.8000,98.9500,97.0500,90.7500,62.3500,0.1000,198722.95,414.98
182000,3580.8,253134.7,507924,492307,99.5500,98.7500,96.7000,90.9000,62.9000,0.0500,198750.73,413.24
184000,3620.5,251689.5,521180,492305,99.9500,99.3500,97.4500,90.3500,61.8500,0.0500,198897.47,415.56
186000,3659.6,248894.5,528380,492314,99.6500,98.7500,96.6000,89.5000,60.7000,0.0500,199083.24,414.12
188000,3699.0,247808.4,532992,492270,99.5000,98.7000,96.3000,90.0000,60.0500,0.1000,199320.13,413.85
190000,3740.5,256262.8,566012,492106,99.8000,99.1000,97.2500,91.4500,63.4000,0.1500,198585.71,415.08
192000,3779.4,246062.2,525032,492103,99.7500,98.9000,96.2500,88.5000,59.1500,0.0500,199235.08,417.49
194000,3818.9,250228.5,405140,492088,99.5500,98.8000,96.2000,89.4500,61.9000,0.0000,199205.98,413.34
196000,3858.1,248291.3,387020,492084,99.9000,99.3000,96.9500,90.5500,59.8500,0.0000,199644.50,413.92
198000,3897.8,252810.0,513056,492095,99.6000,99.1000,96.9500,90.7500,62.6500,0.1000,198851.84,417.09
200000,3937.1,248636.0,576576,492076,99.7500,98.7500,96.4000,89.7000,60.6500,0.1000,199134.06,416.43
202000,3976.4,248088.3,555848,492055,99.3500,98.4000,96.2500,89.9500,60.2500,0.3000,199431.46,414.39
204000,4015.7,249215.0,521824,492058,99.7500,98.8000,96.2000,89.9500,60.4000,0.1000,199110.62,415.52
206000,4055.0,250525.3,387468,492077,99.7500,99.0000,97.4000,91.1000,61.4000,0.0000,199605.08,413.76
208000,4094.5,251512.1,436364,492093,99.6500,99.1000,96.8000,90.3000,62.7500,0.0000,199398.19,415.50
210000,4133.9,248648.3,487228,492070,99.7000,98.9500,96.3000,90.1500,60.0500,0.0500,199350.73,414.64
212000,4173.8,254193.0,522352,492074,99.9500,99.2500,97.9000,91.5500,63.0000,0.1000,199451.59,411.51
214000,4213.8,254082.4,411064,492071,99.7000,99.0000,97.0000,90.7500,63.8000,0.0000,199105.56,414.97
216000,4253.0,249669.2,481744,492095,99.7500,99.3500,97.2000,89.9500,60.7000,0.1000,199538.17,413.41
