timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-08T13:48:37+00:00,runs/r12_wide32.bin,600,289082,329912,113564,380924,387340,11087,99.83,98.17,95.33,77.17,0.00,0
2026-08-08T14:16:41+00:00,runs/r12_wide32.bin,600,288164,331724,100232,380508,566120,11060,99.83,98.33,95.00,75.67,0.17,0
2026-08-08T14:49:41+00:00,runs/r12_wide32.bin,600,297749,335068,132484,378240,406668,11397,99.67,98.50,96.17,79.33,0.00,0
2026-08-08T15:17:31+00:00,runs/r12_wide32.bin,600,289301,332540,80404,380816,567272,11081,99.17,97.83,93.50,77.83,0.33,0
2026-08-08T15:45:15+00:00,runs/r12_wide32.bin,600,285911,331756,84148,380628,490604,10970,99.33,98.33,94.83,75.50,0.17,0
2026-08-08T16:18:05+00:00,runs/r12_wide32.bin,600,286697,328784,109600,380924,530168,11011,99.67,98.50,95.00,74.83,0.17,0
2026-08-08T16:46:02+00:00,runs/r12_wide32.bin,600,294898,337400,104832,381268,533744,11306,99.67,98.50,95.00,77.33,0.17,0
2026-08-08T17:19:06+00:00,runs/r12_wide32.bin,600,292776,333316,82620,380788,386684,11219,99.67,98.33,94.33,78.00,0.00,0
