episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,2125.1,251809.9,601588,505059,99.8500,99.3000,96.6500,89.1000,61.7000,0.1000,202215.82,413.75
112000,2163.7,249453.4,506756,505006,99.6500,98.8000,96.4000,90.3500,60.4000,0.1000,202852.65,414.54
114000,2201.8,247930.2,387028,505004,99.7500,99.2000,97.2000,90.2500,60.2000,0.0000,203000.11,418.46
116000,2240.9,253290.6,533764,504929,99.6500,98.6500,96.5500,90.5000,63.7500,0.1000,202657.53,414.20
118000,2279.5,247910.3,531640,504825,99.7500,99.0500,96.2500,89.5500,60.0500,0.1500,202822.51,416.21
120000,2318.3,249528.6,529832,504712,99.5500,98.9000,96.6000,90.6500,60.4000,0.0500,202859.64,417.03
122000,2356.1,249621.9,513984,504835,99.5000,98.7500,96.5000,89.9500,61.4500,0.0500,203142.32,414.52
124000,2393.9,252746.4,428204,505021,99.8000,99.1500,97.1500,90.7500,63.1500,0.0000,202833.89,415.69
126000,2432.3,252091.4,608864,505077,99.8500,99.1000,96.8000,90.8000,62.3000,0.1000,202825.72,417.55
128000,2470.4,251461.1,535456,505179,99.5500,98.8000,96.4500,90.2000,61.9500,0.0500,202950.40,414.76
130000,2508.8,251252.1,524248,505200,99.8000,99.3000,97.3000,91.3500,61.6000,0.0500,203043.17,416.55
132000,2549.4,255606.6,524032,504920,99.9000,99.2000,97.2500,91.0000,63.6500,0.1500,202534.16,413.57
134000,2590.5,254854.7,387884,504527,99.8500,99.3000,97.2000,91.6000,63.4000,0.0000,202753.17,413.40
136000,2629.2,254441.3,488272,504585,99.8500,98.9000,96.9500,90.1500,63.8000,0.1000,202523.51,416.72
138000,2667.9,249104.2,386932,504495,99.7500,98.7000,96.5000,89.6500,61.5500,0.0000,203440.52,411.19
140000,2706.9,252481.5,504788,504455,99.7500,99.0500,96.9500,91.2000,61.5000,0.1000,202815.27,414.86
142000,2745.5,252444.4,534816,504491,99.8000,99.1500,97.0500,90.6500,62.3000,0.1000,202777.56,416.69
144000,2783.2,251559.3,553288,504654,99.8000,99.2500,97.2000,90.9500,61.4500,0.1000,203010.78,415.92
146000,2822.6,254183.4,487764,504587,99.8000,98.7500,96.7500,91.6000,62.7000,0.0500,202946.31,414.42
148000,2861.1,254325.1,528960,504677,99.8500,99.0000,97.1500,90.7000,63.3500,0.1000,202601.47,417.14
150000,2899.6,251855.7,473756,504688,99.6500,98.6500,96.1000,89.5500,63.0500,0.0500,202975.69,416.87
152000,2938.4,250498.3,532960,504636,99.8500,99.2500,96.8000,90.5000,61.0000,0.1500,203121.47,417.76
154000,2976.5,246327.4,488520,504602,99.9000,99.3500,97.0500,89.9500,60.1500,0.0500,203880.96,417.95
156000,3015.2,250991.7,387356,504576,99.9000,99.2500,96.2500,90.2500,61.6000,0.0000,202877.83,419.37
158000,3053.4,250224.6,387084,504610,99.8500,99.2000,96.7500,90.7500,62.4500,0.0000,203402.80,413.49
160000,3092.0,252405.2,397056,504623,99.6500,99.0500,96.4500,90.4500,62.6500,0.0000,202988.71,416.31
162000,3130.2,252601.7,482256,504709,99.7000,98.8500,96.9000,91.0000,62.6500,0.0500,203107.34,413.98
164000,3168.7,251769.0,465160,504746,99.8000,99.1500,96.7000,90.7000,61.4500,0.0500,202986.21,417.31
166000,3206.5,247632.3,386656,504770,99.7000,98.9500,96.9500,90.5000,60.6500,0.0000,203728.14,413.09
168000,3245.3,250877.1,509552,504730,99.6500,99.0500,96.5000,89.3500,62.5500,0.0500,203031.11,416.55
170000,3283.7,254843.5,528372,504826,99.7000,99.0500,97.1500,92.4500,62.0500,0.0500,203005.86,416.06
172000,3322.1,253072.5,479436,504898,99.5500,98.9000,96.6500,89.9500,62.7000,0.0500,202814.01,415.17
174000,3360.6,251572.8,408868,504911,99.7000,99.1000,96.9500,91.3000,62.1000,0.0000,203590.12,412.38
176000,3399.2,254899.8,444872,504976,99.7000,99.2500,97.1000,92.1000,63.4500,0.0000,203127.34,415.19
178000,3438.1,252481.2,411020,504953,99.5500,98.9500,97.0000,91.4000,62.5500,0.0000,203081.56,418.96
180000,3477.0,253683.9,563804,504939,99.6500,98.7500,97.0500,90.9500,62.8500,0.1500,203013.60,415.66
182000,3515.9,253067.3,399652,504938,99.7000,99.0000,96.9500,90.8500,63.0500,0.0000,203425.26,413.24
184000,3554.8,253107.2,550644,504914,99.7000,98.9500,96.8500,90.3500,63.2500,0.1000,203330.17,415.84
186000,3594.4,257406.7,387248,504887,99.8000,99.2500,97.3500,91.9000,64.2500,0.0000,202717.49,415.95
188000,3633.0,253025.2,480148,504913,99.8000,99.2000,97.3500,91.1500,62.1000,0.0500,203315.38,415.04
190000,3672.2,255733.6,387308,504915,99.7500,98.9000,97.7000,91.2000,64.2000,0.0000,203148.00,415.11
192000,3710.6,251587.7,597284,504942,99.5500,98.6500,96.8000,90.8500,62.7000,0.1500,203592.60,416.14
194000,3750.4,255837.2,555404,504860,99.6500,98.9500,96.9500,92.3000,63.6500,0.0500,203274.43,415.00
196000,3789.1,251392.6,557368,504839,99.6000,98.8000,96.2000,89.5000,63.3000,0.1500,203792.78,411.22
198000,3827.2,249693.8,387168,504856,99.6500,98.8000,96.5500,90.5500,61.9500,0.0000,203869.23,415.67
200000,3865.0,250020.9,536944,504942,99.8000,99.1500,96.7000,89.8500,61.0000,0.1000,203556.49,417.40
202000,3903.9,256384.1,412696,504983,99.7500,99.4000,97.5500,91.3000,64.3000,0.0000,202949.59,416.84
204000,3942.5,255131.7,527408,505044,99.6500,98.6500,96.1000,90.2500,64.0500,0.0500,203560.99,410.00
206000,3981.0,253517.4,548616,505085,99.7500,98.6000,97.1000,91.1000,63.6500,0.1000,203630.18,416.13
208000,4020.4,254292.0,532200,505030,99.7000,98.8000,97.1000,90.9500,64.0500,0.1500,203708.79,410.94
210000,4058.2,248791.5,527360,505073,99.8000,99.0500,96.4500,89.9500,60.3000,0.0500,203733.87,414.43
212000,4097.2,255108.1,489500,505080,99.9500,99.6000,97.6500,91.1500,63.9500,0.1000,203365.35,416.67
214000,4136.2,254948.2,411176,505087,99.8000,99.3000,97.1000,91.5000,64.3000,0.0000,203939.28,410.75
216000,4174.4,251223.5,511248,505130,99.7500,98.9500,97.4000,90.4500,61.7500,0.0500,203884.55,414.28
218000,4213.1,253469.7,564852,505146,99.8500,99.2000,96.8500,91.6000,62.6000,0.0500,203662.96,414.98
220000,4252.2,250551.6,586660,505064,99.7500,99.3000,96.8000,91.0000,61.8500,0.1000,204008.42,417.59
222000,4291.1,254069.3,574604,505068,99.7000,99.0000,96.6500,91.3500,63.6000,0.1000,203707.92,415.35
224000,4330.0,254310.2,504996,505075,99.6500,98.9500,96.6500,90.4500,64.1500,0.1500,203627.56,413.36
226000,4369.4,258315.7,577296,505083,99.8500,99.2000,97.4500,91.8000,65.2000,0.0500,203263.46,413.16
228000,4408.9,251611.5,387224,504971,99.7000,98.9000,97.0000,90.5500,63.2500,0.0000,204028.29,414.10
230000,4447.2,251278.5,408536,505003,99.7500,99.1500,96.7000,90.6000,61.9000,0.0000,203993.46,414.26
232000,4485.2,251573.7,388220,505071,99.4500,98.6500,96.7000,90.5500,62.5000,0.0000,204228.28,411.90
234000,4523.9,252409.2,410040,505074,99.8000,99.3000,97.9500,91.1500,62.4000,0.0000,203973.85,416.33
236000,4562.5,255416.6,481844,505132,99.9000,99.4000,97.8500,91.8500,63.4000,0.0500,203820.36,413.02
238000,4600.3,250672.3,564740,505195,99.7000,98.7000,96.5500,90.5000,62.0500,0.1000,203967.83,414.15
240000,4639.3,251233.2,388640,505147,99.6500,98.6000,96.6500,90.9500,62.2000,0.0000,204129.43,416.07
242000,4677.6,248599.7,571772,505128,99.6000,98.6000,96.5000,89.4500,61.3500,0.0500,204369.37,413.46
244000,4715.6,250458.7,527432,505173,99.8000,98.7500,96.8500,91.3500,60.7500,0.1000,204283.06,414.07
246000,4754.6,253740.1,550568,505157,99.8500,99.3000,96.6000,91.2500,62.6500,0.1500,203829.03,414.03
248000,4793.1,251655.8,532284,505166,99.8500,99.3000,97.0500,90.5500,62.5000,0.1500,204041.08,416.88
250000,4831.8,252208.9,523840,505164,99.5500,99.1500,96.5000,90.3500,62.9500,0.0500,204073.71,413.79
252000,4870.2,256386.0,532832,505254,99.5000,99.0500,97.0500,91.0000,64.4000,0.0500,203612.43,414.97
254000,4907.8,251708.7,556372,505349,99.8500,99.2500,96.5000,90.9500,62.2500,0.1000,204253.41,413.39
256000,4947.3,260260.7,387028,505380,99.8500,99.2000,97.5000,92.1000,65.7500,0.0000,203509.89,411.82
258000,4987.3,258002.9,535680,505325,99.7000,99.0500,97.3500,91.3000,65.5000,0.1500,203726.41,413.44
260000,5026.4,252647.9,531208,505279,99.8500,99.0500,96.3500,90.1000,63.5500,0.0500,204441.72,411.86
262000,5064.9,252074.6,534420,505294,99.8500,99.1500,96.4500,90.0000,62.4500,0.1000,203908.88,415.21
264000,5104.0,254558.1,530872,505280,99.7500,98.9500,96.7000,91.0000,63.7500,0.0500,204138.90,413.13
266000,5142.2,250255.0,387236,505289,99.7000,98.9500,96.9500,90.5000,62.5500,0.0000,204746.37,414.23
268000,5180.4,252667.1,504048,505343,99.9000,99.4000,97.4000,89.8500,62.4500,0.0500,204118.63,414.11
270000,5218.6,251643.2,572172,505380,99.6000,98.5500,95.9000,89.6500,63.1500,0.1000,204091.04,416.31
272000,5256.8,253837.6,469608,505446,99.7000,99.1000,96.8000,91.2000,63.8500,0.1000,204508.38,411.07
274000,5295.2,254308.9,573548,505496,99.6500,99.2500,97.0500,91.7500,63.4000,0.0500,204413.55,415.99
276000,5334.3,252590.8,456172,505458,99.7500,99.2500,97.4500,91.6000,62.0500,0.0000,204493.86,414.26
278000,5372.6,253801.1,476232,505510,99.6000,99.1500,97.1500,90.9500,63.7500,0.1000,204702.50,409.68
280000,5411.0,255684.3,533236,505576,99.7000,99.0000,96.7500,92.0500,64.1000,0.0500,204237.51,411.61
282000,5449.3,254393.2,502852,505633,99.6000,98.9000,96.5500,91.6000,63.8500,0.0500,204176.29,415.42
284000,5487.9,254645.8,398640,505664,99.5500,99.0500,97.3500,90.7500,63.5500,0.0000,204291.46,413.43
286000,5526.3,252367.1,508716,505690,99.7500,99.1500,96.9000,91.1500,61.8500,0.0500,204528.23,412.33
288000,5565.3,250696.2,554948,505631,99.7500,99.0500,96.9000,90.9000,61.9000,0.0500,204688.74,416.11
290000,5603.9,252851.0,413100,505643,99.8000,99.2000,97.1500,90.6500,62.6500,0.0000,204122.99,418.66
292000,5642.3,251537.8,504936,505659,99.7000,99.3500,97.0000,91.3000,62.7000,0.1000,205125.20,414.09
294000,5680.5,254411.8,477852,505725,99.8000,99.0000,96.7000,91.7000,63.8000,0.0500,204835.39,409.91
296000,5718.2,249118.8,497868,505768,99.7500,99.1500,97.3500,91.1500,60.5500,0.0500,205133.63,416.12
298000,5756.6,253741.7,528736,505807,99.6500,99.1500,97.0000,90.2500,62.9500,0.1500,204175.59,414.84
300000,5795.7,256504.9,501852,505810,99.7500,99.3000,97.6500,91.6000,64.4000,0.0500,204540.04,414.62
302000,5834.8,258935.8,564680,505847,99.7500,99.4000,97.5000,92.6500,65.4500,0.1000,204199.91,416.11
304000,5872.8,252418.3,576572,505905,99.8000,99.1000,97.1000,90.9500,62.4000,0.1000,204690.07,417.55
306000,5911.0,253715.6,387400,505958,99.6500,99.2500,97.2000,90.4500,62.7500,0.0000,204256.50,416.83
308000,5948.4,251614.8,387112,506054,99.8000,99.1500,96.9000,90.5000,62.4000,0.0000,204704.22,416.92
310000,5987.1,256865.5,479268,506096,99.8500,99.2000,97.3000,91.9000,64.2500,0.0500,204308.64,417.47
