timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-07T21:46:58+00:00,runs/r11_ctl.bin,600,275069,317024,84000,374516,386256,10580,99.50,98.00,94.50,71.67,0.00,1
2026-08-07T22:28:04+00:00,runs/r11_ctl.bin,600,271559,290496,102588,373948,385300,10455,99.83,98.67,95.17,70.00,0.00,0
2026-08-07T23:09:12+00:00,runs/r11_ctl.bin,600,269541,310948,79280,375788,385144,10377,99.00,97.33,93.33,69.33,0.00,0
2026-08-07T23:50:25+00:00,runs/r11_ctl.bin,600,278925,322256,80220,376468,386948,10706,99.67,98.50,93.67,74.00,0.00,1
2026-08-08T00:31:30+00:00,runs/r11_ctl.bin,600,268583,290344,77236,375544,385388,10348,99.67,97.17,93.33,69.33,0.00,0
2026-08-08T01:12:35+00:00,runs/r11_ctl.bin,600,268233,290336,85532,373464,387048,10328,99.50,98.33,94.50,69.67,0.00,0
2026-08-08T01:53:40+00:00,runs/r11_ctl.bin,600,271714,292868,104772,376180,522372,10463,99.50,98.33,94.83,69.67,0.17,0
2026-08-08T02:34:47+00:00,runs/r11_ctl.bin,600,267789,290092,68708,376792,386580,10313,99.17,96.67,91.83,70.50,0.00,0
2026-08-08T03:15:54+00:00,runs/r11_ctl.bin,600,272472,291540,80480,377832,386636,10482,99.17,97.83,94.17,71.33,0.00,0
2026-08-08T03:57:03+00:00,runs/r11_ctl.bin,600,277301,312464,80776,376172,504136,10642,99.33,98.17,94.17,74.33,0.17,0
2026-08-08T04:38:14+00:00,runs/r11_ctl.bin,600,267389,290304,80128,376352,486180,10297,98.83,97.33,92.83,69.17,0.17,0
2026-08-08T05:19:37+00:00,runs/r11_ctl.bin,600,270233,290560,80664,377576,506428,10407,99.83,98.00,94.17,69.33,0.17,0
2026-08-08T05:55:59+00:00,runs/r11_ctl.bin,600,268619,289820,80636,377832,489116,10347,99.33,97.67,94.50,70.17,0.17,0
2026-08-08T06:37:26+00:00,runs/r11_ctl.bin,600,268619,290336,80156,376556,387148,10340,99.17,97.83,93.50,70.50,0.00,0
2026-08-08T07:19:04+00:00,runs/r11_ctl.bin,600,276014,294152,80604,375344,385148,10612,99.83,98.50,94.17,72.67,0.00,0
2026-08-08T08:00:41+00:00,runs/r11_ctl.bin,600,277734,314968,89648,376680,385480,10657,99.50,98.17,94.50,74.50,0.00,0
2026-08-08T08:42:08+00:00,runs/r11_ctl.bin,600,267982,290256,80520,376132,529420,10328,99.33,98.00,93.00,69.33,0.17,0
2026-08-08T09:03:39+00:00,runs/r11_ctl.bin,600,275786,312048,80624,377048,489372,10598,99.17,97.33,94.67,72.67,0.17,0
