episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,1106.5,246612.7,504276,938157,99.7500,99.1500,96.2500,89.9500,58.7000,0.1500,185346.85,404.72
112000,1127.1,246449.7,511000,938020,99.8500,99.0500,96.3500,89.7000,58.9500,0.0500,185386.20,399.49
114000,1147.3,245569.3,387400,938198,99.8500,99.0500,96.8500,90.0500,57.9500,0.0000,185565.65,398.16
116000,1167.5,245076.8,524332,938230,99.6500,98.9500,96.4500,89.2000,58.6500,0.1500,185646.23,401.35
118000,1188.2,246478.8,513164,938029,99.8500,99.0500,96.8000,89.4000,59.1500,0.0500,185648.86,398.37
120000,1208.3,245588.9,508812,938210,99.8000,99.0500,96.8500,88.9500,58.5000,0.0500,185195.67,404.39
122000,1228.3,243583.3,386272,938425,99.4500,98.9500,96.6000,89.5500,57.4000,0.0000,185785.61,401.17
124000,1248.5,242140.4,386532,938287,99.5500,98.6000,96.4000,89.8500,56.7000,0.0000,186237.38,397.64
126000,1268.9,241672.4,532360,938058,99.9500,98.8000,96.5000,89.0000,56.2000,0.0500,186039.71,402.08
128000,1289.1,242718.5,548408,938027,99.7000,98.8500,96.6000,89.6000,57.1500,0.0500,186118.94,398.75
130000,1309.3,244900.5,387496,938141,99.6500,99.1000,97.1000,90.1000,57.5500,0.0000,185777.37,404.73
132000,1329.7,244511.3,512964,938059,99.8000,99.0500,96.6000,89.8000,58.2000,0.1000,186034.59,400.16
134000,1349.1,242424.3,488492,938523,99.6000,98.5500,95.9500,88.3000,57.0500,0.0500,185873.73,400.65
136000,1368.8,241456.9,419816,938751,99.8500,99.1000,95.8500,88.8000,56.7000,0.0000,186215.90,400.14
138000,1388.8,245665.0,386412,939029,99.6500,98.5500,96.7500,89.9000,59.3500,0.0000,186357.19,398.44
140000,1409.8,249310.1,387136,938775,99.4500,98.7000,96.9500,90.1000,60.7000,0.0000,185626.95,401.65
142000,1429.6,241102.0,401244,938896,99.5500,98.7000,95.9500,88.7500,57.3000,0.0000,186542.10,399.74
144000,1450.6,244433.6,388884,938438,99.6500,98.8500,96.0500,89.1000,57.8000,0.0000,185923.10,405.43
146000,1471.6,243871.8,468740,937889,99.7500,99.1000,96.6000,90.1500,57.4000,0.0500,186412.00,400.52
148000,1492.0,243131.1,406452,937747,99.8000,98.9500,96.9500,88.5000,57.8000,0.0000,186319.13,401.44
150000,1512.4,240972.9,502972,937525,99.8000,99.1000,96.1000,89.2500,57.0000,0.1000,186761.27,402.84
152000,1532.8,245519.4,484976,937508,99.6000,98.7500,96.4500,91.0000,57.6500,0.1000,186289.87,402.87
154000,1552.9,240010.5,533272,937439,99.6500,98.7000,96.1000,88.6000,55.7500,0.1000,186656.78,400.28
156000,1572.7,242292.9,387464,937645,99.5000,98.8500,96.5000,89.3500,57.2000,0.0000,186723.03,398.45
158000,1592.9,241771.3,514564,937545,99.7000,99.0000,96.1500,88.6000,57.2000,0.0500,186755.70,397.62
160000,1613.5,244302.1,459724,937333,99.7000,98.8500,95.9500,88.3000,58.9000,0.0500,186429.50,400.46
162000,1634.3,243872.2,583312,937046,99.9000,99.0500,96.9000,88.7000,58.3500,0.1500,186552.63,401.44
164000,1654.9,243360.6,387296,936787,99.7000,98.7500,96.3500,90.0500,57.5000,0.0000,186587.83,402.37
166000,1675.6,242070.4,486564,936497,99.5500,98.7500,95.1000,89.0000,57.4000,0.0500,186827.71,398.75
168000,1696.3,242884.1,490332,936200,99.7500,98.9500,97.0000,90.1000,58.1500,0.0500,187191.50,400.47
170000,1717.1,244563.5,452188,935940,99.6500,98.7500,96.6500,89.8000,58.5000,0.0000,186718.34,403.78
172000,1738.3,242293.2,530772,935391,99.8000,98.8500,96.0000,89.8000,57.0500,0.0500,187007.58,401.24
174000,1759.3,245122.1,469624,935045,99.7500,98.8000,96.3500,89.4000,58.8500,0.0500,186611.36,402.86
176000,1779.9,241996.3,387448,934803,99.7500,98.8000,96.3500,88.4500,57.0000,0.0000,186621.56,404.09
178000,1800.4,243284.0,553080,934646,99.6000,98.7500,96.3500,89.2000,57.6000,0.1500,186808.17,402.98
180000,1820.7,242331.3,565228,934627,99.7500,99.0000,96.0000,89.1500,56.4000,0.0500,186765.73,400.54
182000,1841.4,244677.5,555240,934420,99.7000,98.8500,96.4000,89.6000,57.8500,0.0500,186889.03,400.70
184000,1862.1,243195.6,511864,934225,99.8500,98.9500,96.1500,89.2500,57.3500,0.0500,186923.44,401.06
186000,1882.6,245015.4,387520,934161,99.8500,99.1500,96.5000,89.8000,58.2500,0.0000,186653.41,403.42
188000,1903.2,239758.1,528000,933866,99.9000,99.1500,97.0000,88.2000,55.6500,0.0500,187358.93,402.67
190000,1923.9,239493.1,517400,933528,99.7500,98.7500,96.2000,88.8500,54.5000,0.1000,187314.50,401.77
192000,1945.6,248942.6,479924,933064,99.8000,99.3000,97.7000,89.7500,59.3500,0.0500,186531.37,402.13
194000,1965.5,240639.4,519968,933148,99.8000,98.9000,96.1500,88.3000,57.0000,0.1000,187178.15,404.89
196000,1986.0,247438.5,525948,933197,99.7000,98.8000,96.6500,89.6500,58.9000,0.1000,187043.45,399.73
198000,2006.1,244425.2,389428,933336,99.8000,99.0000,96.9500,88.9500,58.4500,0.0000,187091.90,402.96
200000,2026.5,241926.6,423424,933253,99.8000,99.0000,96.4000,89.7000,56.7000,0.0000,187336.21,404.12
202000,2046.9,240918.3,410636,933136,99.8000,98.4000,96.1500,89.5500,56.2000,0.0000,187516.10,403.21
204000,2067.6,242684.7,557276,932890,99.7000,98.5500,96.1500,89.0500,56.8000,0.1000,187298.22,402.27
206000,2088.7,243648.1,513944,932582,99.7500,99.1500,96.7000,88.8000,58.0500,0.1000,187312.79,404.38
208000,2109.8,244688.9,503492,932275,99.7000,99.1000,96.7000,90.4500,56.8500,0.1000,187120.54,403.73
210000,2130.4,240384.0,556840,932025,99.5000,98.3000,95.7500,88.8500,56.3500,0.0500,187479.98,402.06
212000,2151.0,244712.0,468216,931949,99.6500,99.1500,96.6000,89.6500,58.2000,0.0500,187258.46,403.32
214000,2171.8,247225.0,386504,931877,99.7000,98.9000,96.6500,90.4000,59.3500,0.0000,187339.44,404.03
216000,2192.6,244781.0,533476,931745,99.7000,98.8000,96.9500,90.5000,58.0000,0.0500,187593.67,399.68
218000,2213.3,243980.7,532928,931581,99.7000,99.1500,96.7500,90.8500,57.3500,0.1000,187776.33,401.72
220000,2234.0,242818.2,407252,931415,99.8500,99.1000,96.3000,89.1500,57.1500,0.0000,187667.03,403.15
222000,2254.3,238645.9,423120,931280,99.4500,98.8000,96.1500,87.9000,55.3500,0.0000,187583.83,407.11
224000,2275.4,246291.3,387428,931085,99.6000,98.7000,96.7500,90.2500,58.8500,0.0000,187503.59,401.95
226000,2296.4,244964.9,574456,930829,99.8500,98.9500,96.7000,89.8500,58.9500,0.0500,187649.12,401.30
228000,2317.2,244246.8,494528,930682,99.8000,99.3500,96.4500,89.3500,58.7000,0.0500,187574.84,404.20
230000,2337.6,241954.6,387240,930626,99.6500,98.8000,96.3000,88.8000,57.2000,0.0000,187817.72,405.01
232000,2358.3,242968.4,406848,930461,99.6500,98.7000,96.8500,90.0000,56.7500,0.0000,187669.20,405.86
234000,2379.4,246651.1,387348,930286,99.6000,98.9500,96.6000,89.5500,59.3500,0.0000,187606.21,400.17
236000,2400.0,244680.0,387620,930241,99.7000,98.9500,96.4000,89.5500,58.7000,0.0000,187984.29,397.53
238000,2420.7,244932.9,533784,930160,99.6000,98.9000,96.5000,89.1000,58.5000,0.0500,187740.10,403.60
240000,2441.6,245894.1,388320,930016,99.7500,99.0500,96.4500,89.7500,58.8500,0.0000,187945.70,398.16
242000,2462.1,244646.2,488472,930017,99.9000,99.3000,97.4000,90.0500,57.7000,0.0500,188223.51,401.56
244000,2482.8,242815.7,387356,929855,99.7000,98.6000,96.6000,89.5500,57.7500,0.0000,188175.31,400.68
246000,2503.8,247122.6,511228,929715,99.7500,98.8500,97.0500,89.3000,59.5000,0.0500,187484.25,403.52
248000,2524.9,246764.0,514392,929547,99.8500,99.2000,97.6500,90.7000,58.5000,0.2000,187996.21,403.91
250000,2545.7,247109.0,461776,929503,99.7500,98.9000,96.2500,90.2500,59.3000,0.0500,187943.64,401.33
252000,2566.7,245131.3,489912,929333,99.5000,99.0000,96.3500,90.1000,59.3500,0.1000,188157.71,404.50
254000,2587.5,246107.3,407440,929263,99.5500,98.7500,96.6500,88.7000,59.4000,0.0000,187626.38,403.95
256000,2608.8,249173.4,387380,929088,99.6000,99.1500,97.1500,90.8000,59.4500,0.0000,187817.77,402.78
258000,2629.4,242649.4,387524,928974,99.7000,98.8500,96.6500,89.1000,57.5500,0.0000,188456.14,401.66
260000,2650.4,243062.1,402844,928776,99.8000,98.9500,96.5500,88.6500,58.0500,0.0000,188374.76,404.24
262000,2671.1,244908.9,418640,928693,99.7000,98.9000,96.4000,88.9000,58.8500,0.0000,187858.84,405.34
264000,2691.8,245693.0,521476,928634,99.5500,98.7000,96.6000,90.8500,58.2000,0.0500,188149.99,403.61
266000,2712.4,241369.5,387396,928515,99.8000,98.9000,96.5000,89.1500,56.5000,0.0000,188519.05,404.78
268000,2733.3,243244.9,387436,928359,99.5500,98.2000,96.0500,88.7500,57.6500,0.0000,188292.54,403.69
270000,2754.1,242321.0,486568,928185,99.7000,99.1500,96.2000,88.1500,58.1000,0.0500,188516.35,402.73
272000,2774.8,245286.5,498844,928117,99.2500,98.5500,96.1500,89.5500,58.5000,0.1000,188302.17,402.99
274000,2795.6,246194.2,487392,928074,99.8000,99.0500,96.7500,89.6000,58.6000,0.0500,188224.56,403.74
276000,2816.3,241749.4,388560,927934,99.4500,98.9000,96.5000,89.1500,56.3500,0.0000,188761.45,402.32
278000,2836.8,241453.4,518972,927858,99.8500,98.9000,96.4500,88.4000,57.2500,0.0500,188843.12,401.25
280000,2857.8,244827.6,470516,927715,99.7500,98.5000,96.6500,89.9000,58.3000,0.0500,188396.07,406.09
