episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
96000,2974.2,266150.1,438268,244156,99.8022,99.1098,97.8239,93.2740,66.5678,0.0000,212104.94,394.90,47902,192,32848
98000,3035.5,262650.3,387004,244181,100.0000,99.3110,97.3425,92.4213,67.3228,0.0000,212662.32,395.28,48886,197,33533
100000,3096.8,261353.8,406712,244220,99.3250,98.8428,96.2392,90.5497,66.0559,0.0000,212187.18,394.28,49849,201,34220
102000,3158.2,269149.5,620996,244306,99.6008,99.4012,97.6048,92.4152,69.9601,0.0998,211569.55,394.47,50847,204,34922
104000,3217.4,266886.4,533976,244513,99.7044,99.5074,98.1281,92.5123,69.8522,0.0985,212472.07,392.15,51832,210,35633
106000,3276.9,263111.9,387200,244685,99.8047,99.3164,97.6562,91.3086,66.9922,0.0000,212157.70,398.81,52808,214,36321
108000,3339.1,266014.5,386584,244630,99.7972,99.3915,97.0588,92.0892,68.7627,0.0000,211889.93,397.53,53822,215,36997
110000,3404.2,268845.9,500484,244494,99.9047,99.2374,97.8074,92.4690,69.4948,0.0953,211636.48,394.77,54773,216,37730
112000,3467.4,263970.0,530116,244377,99.8004,99.5010,97.7046,91.7166,67.0659,0.2994,212268.20,395.06,55771,219,38403
114000,3529.9,268128.3,387744,244274,99.6855,98.7421,97.6939,92.3480,68.8679,0.0000,211786.38,391.98,56817,224,39061
116000,3592.9,259738.1,471112,244169,99.7090,99.1271,95.8293,90.3007,66.7313,0.0970,212406.66,397.60,57786,228,39752
118000,3657.0,266752.0,528992,244093,99.9044,99.3308,96.9407,92.1606,68.4512,0.2868,211656.53,392.96,58740,231,40472
120000,3720.1,268076.4,533432,244069,99.9038,99.5192,98.3654,92.8846,68.6538,0.0962,211485.56,399.13,59700,235,41188
122000,3783.0,265494.7,514228,243957,99.8960,99.2723,96.7775,93.1393,67.9834,0.1040,212139.10,390.82,60738,240,41843
124000,3846.5,264368.1,386368,243864,100.0000,98.9205,96.9578,92.1492,66.9284,0.0000,211704.98,396.31,61719,243,42528
126000,3909.0,262882.0,387236,243827,99.9021,98.8247,97.1596,91.9687,66.6993,0.0000,212287.25,393.89,62698,247,43207
128000,3969.7,266002.1,513032,243869,100.0000,99.7959,97.5510,91.6327,68.5714,0.1020,211960.14,392.72,63718,250,43883
130000,4032.0,266064.2,386364,243811,99.4888,98.9775,97.0348,92.4335,68.7117,0.0000,211722.28,395.15,64740,252,44554
132000,4095.6,264904.2,533468,243722,99.8006,99.6012,97.2084,92.7218,66.7996,0.1994,212067.70,396.27,65737,254,45226
134000,4156.9,263932.9,532596,243682,99.5846,99.1693,96.8847,92.1080,67.7051,0.1038,211889.00,395.75,66774,256,45879
136000,4218.9,262608.7,497252,243652,99.8033,99.4100,96.3618,91.4454,66.7650,0.0983,211894.44,400.59,67757,260,46562
138000,4280.7,263393.2,532548,243670,99.9023,99.3164,97.8516,92.8711,66.2109,0.1953,212369.27,392.44,68733,266,47240
140000,4342.6,265298.0,513412,243608,99.7919,99.4797,98.0229,92.6119,69.1988,0.1041,212480.31,391.54,69772,268,47909
142000,4405.7,262725.8,387540,243526,99.6008,99.0020,97.6048,92.3154,67.5649,0.0000,212640.20,388.65,70770,272,48587
144000,4468.6,265453.4,388784,243472,100.0000,99.4006,97.4026,92.8072,67.5325,0.0000,211599.82,399.23,71769,276,49265
146000,4532.2,269445.0,387060,243437,99.9012,99.3083,97.6285,93.3794,70.2569,0.0000,211660.24,392.97,72757,282,49977
148000,4594.0,263365.4,387172,243374,99.8948,99.4742,97.7918,92.8496,67.2976,0.0000,212733.71,388.11,73806,283,50619
150000,4656.6,267510.0,386748,243352,99.9001,99.2008,96.8032,91.5085,69.3307,0.0000,211295.57,400.31,74805,284,51312
152000,4719.9,264201.2,529156,243278,99.8031,98.7205,97.2441,91.9291,67.4213,0.1969,211863.65,396.04,75789,288,52001
154000,4783.3,265334.9,499784,243251,99.8043,99.4129,96.7710,92.1722,68.5910,0.0978,211934.57,393.93,76767,289,52701
156000,4844.7,263669.8,486800,243256,100.0000,99.2965,98.1910,92.3618,66.8342,0.1005,212026.18,396.81,77772,291,53367
158000,4906.9,259937.2,488336,243194,100.0000,98.9899,97.5758,90.8081,65.5556,0.2020,211823.02,397.37,78782,291,54020
160000,4970.4,259197.2,532056,243090,99.6016,98.9044,96.6135,91.8327,64.6414,0.1992,212395.30,398.76,79778,295,54672
162000,5032.9,266393.5,518240,243087,100.0000,99.4980,97.1888,92.4699,67.7711,0.1004,211532.72,397.69,80782,302,55349
164000,5095.4,263381.8,552396,243046,100.0000,99.2958,97.5855,93.2596,67.5050,0.2012,211883.85,398.02,81788,306,56023
166000,5157.7,261033.7,386632,243039,99.8024,99.0119,97.3320,93.2806,64.9209,0.0000,212051.04,394.93,82776,313,56686
168000,5220.0,268734.4,507256,243012,99.4819,98.7565,96.8912,92.2280,69.8446,0.1036,211097.07,396.59,83811,318,57361
170000,5282.4,266157.7,504220,242997,99.6028,99.3049,97.4181,93.4459,67.3287,0.1986,211688.96,395.31,84804,322,58045
172000,5344.2,270987.5,414028,242992,99.7859,99.4647,98.3940,92.8266,70.0214,0.0000,210901.73,395.92,85870,322,58697
174000,5405.2,265862.5,483504,243041,99.8006,99.4018,97.3081,91.9242,68.3948,0.0997,211042.94,399.72,86867,327,59385
176000,5467.2,263353.8,509204,243059,100.0000,99.7059,97.9412,92.5490,67.4510,0.0980,212157.94,397.45,87847,334,60075
178000,5529.9,263995.6,387240,243014,99.7984,99.5968,97.7823,92.1371,66.8347,0.0000,211878.38,393.71,88855,339,60742
180000,5591.3,265080.1,386972,243027,99.7957,98.9785,97.6507,92.9520,67.5179,0.0000,211719.34,399.39,89876,343,61401
182000,5650.6,259631.7,387132,243078,99.7899,99.1597,96.8487,91.7017,64.7059,0.0000,212141.29,398.32,90924,348,62021
184000,5712.8,262511.8,525384,243082,99.9014,99.3097,97.2387,92.5049,65.8777,0.0986,211703.22,394.77,91910,352,62688
186000,5775.5,263013.3,386488,243044,99.9012,99.5059,98.0237,92.6877,66.2055,0.0000,211975.11,394.20,92898,355,63361
188000,5837.2,261210.2,387244,243051,99.9016,98.7205,96.4567,91.7323,66.4370,0.0000,211919.16,392.14,93882,356,64034
190000,5900.3,267677.2,387000,243050,99.9040,99.5202,97.9846,93.2821,68.4261,0.0000,211340.92,396.99,94840,357,64747
192000,5963.4,262792.3,387140,243013,99.6117,99.0291,96.9903,93.1068,66.5049,0.0000,212432.43,390.46,95810,359,65433
194000,6024.8,257934.1,387144,242997,99.6016,99.1036,97.5100,91.7331,63.8446,0.0000,212179.49,397.79,96806,361,65536
196000,6088.0,263441.0,386524,242903,99.7910,98.7461,96.3427,91.6405,67.8161,0.0000,211635.93,397.92,97849,363,65536
198000,6149.8,266545.9,386876,242876,99.4726,99.0506,98.3122,93.8819,68.5654,0.0000,212107.94,389.98,98901,368,65536
200000,6213.4,269964.7,387448,242848,99.8997,99.7994,98.2949,93.4804,70.0100,0.0000,211082.50,397.19,99904,370,65536
202000,6276.6,266671.1,386328,242797,99.5035,98.9076,97.2195,92.3535,69.6127,0.0000,211611.05,392.98,100897,373,65536
204000,6339.6,266797.1,533168,242763,99.7992,99.0964,96.9880,90.6627,69.5783,0.1004,211036.66,395.64,101901,374,65536
206000,6402.9,263757.6,387268,242740,99.9031,99.1279,96.8992,91.5698,66.8605,0.0000,211214.51,400.13,102869,377,65536
208000,6463.8,257689.6,385504,242714,99.8974,98.9744,96.7179,91.5897,63.8974,0.0000,212117.58,395.28,103894,381,65536
210000,6526.9,265947.1,532056,242679,99.8037,99.3131,97.5466,92.2473,67.9097,0.0981,211254.25,396.33,104875,383,65536
212000,6591.7,271985.4,386632,242640,99.8035,99.3124,98.0354,93.8114,70.7269,0.0000,210890.05,394.99,105857,384,65536
214000,6653.6,258713.5,387196,242623,99.7027,99.3062,96.7294,91.3776,65.0149,0.0000,211815.17,396.21,106848,385,65536
216000,6715.9,261240.2,386432,242611,99.7984,99.2944,97.6815,92.7419,65.5242,0.0000,212102.59,389.90,107856,386,65536
218000,6778.7,269365.9,495220,242597,99.8999,99.3994,97.7978,93.3934,68.7688,0.1001,210659.48,398.07,108857,391,65536
220000,6842.4,267085.5,490132,242567,100.0000,99.6120,98.4481,94.1804,68.1862,0.0970,211665.35,393.98,109826,394,65536
222000,6906.1,266710.2,387068,242534,99.8014,99.4042,98.2125,93.2473,68.2224,0.0000,211709.41,394.73,110819,396,65536
224000,6968.4,264973.6,527072,242509,99.6926,99.0779,97.2336,92.2131,67.1107,0.1025,211328.03,394.16,111843,401,65536
226000,7032.1,263230.4,385636,242452,99.8014,98.5104,96.8222,91.5591,68.6197,0.0000,211821.07,393.57,112836,406,65536
228000,7094.4,262562.7,388292,242449,99.7050,99.0167,96.5585,90.8555,67.2566,0.0000,210949.73,400.12,113819,407,65536
230000,7157.4,268627.8,533376,242437,99.9001,99.6004,98.1019,93.5065,69.1309,0.1998,211189.46,396.19,114818,411,65536
232000,7219.2,261270.1,532680,242424,99.7009,98.6042,96.9093,91.2263,65.9023,0.1994,211514.61,394.29,115815,413,65536
234000,7282.4,268409.3,385108,242403,100.0000,99.6036,98.2161,93.0624,69.6729,0.0000,211245.83,395.18,116806,414,65536
236000,7344.5,263007.0,387068,242398,99.7024,99.0079,96.9246,92.5595,65.6746,0.0000,211537.08,397.41,117798,418,65536
238000,7409.7,266457.1,574924,242335,100.0000,99.5188,97.6901,92.6853,68.6237,0.1925,211336.64,393.61,118759,422,65536
