timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T07:42:01+00:00,runs/r4_hi.bin,600,228203,219516,60372,376484,386996,8947,99.00,96.50,88.33,49.83,0.00,1
2026-08-06T07:54:29+00:00,runs/r4_hi.bin,600,232059,245828,63672,377496,411256,9082,98.33,96.17,89.17,52.33,0.00,1
2026-08-06T08:09:58+00:00,runs/r4_hi.bin,600,237389,250964,75228,375600,521364,9254,99.17,97.50,89.67,55.83,0.17,1
2026-08-06T08:25:28+00:00,runs/r4_hi.bin,600,230694,228516,61956,375720,406560,9040,99.00,96.00,87.67,50.17,0.00,0
2026-08-06T08:40:57+00:00,runs/r4_hi.bin,600,235317,247540,62236,376408,386720,9191,99.00,95.67,87.83,53.17,0.00,0
2026-08-06T08:56:28+00:00,runs/r4_hi.bin,600,238759,268740,65804,380200,474828,9313,98.33,96.67,87.67,55.67,0.00,1
2026-08-06T09:12:02+00:00,runs/r4_hi.bin,600,241212,270428,69492,376332,385452,9397,99.17,96.83,89.50,57.17,0.00,1
2026-08-06T09:24:28+00:00,runs/r4_hi.bin,600,231698,243108,52256,376380,387024,9067,98.83,95.33,86.67,51.83,0.00,0
2026-08-06T09:39:57+00:00,runs/r4_hi.bin,600,243779,277376,60564,378204,385636,9488,98.83,95.50,88.83,58.50,0.00,1
