episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,2170.6,258888.9,387416,501511,99.7500,99.0500,97.1500,92.3500,65.3500,0.0000,209152.89,414.19
112000,2210.5,255152.9,387372,501402,99.8500,99.3000,98.0500,92.1500,62.9500,0.0000,209717.73,410.61
114000,2250.8,255910.6,465416,501220,99.7500,99.0500,97.3500,91.6000,63.8000,0.0500,209598.94,411.94
116000,2290.1,253480.4,552096,501189,99.7000,98.8500,96.9500,90.8500,63.6500,0.1000,209828.13,412.74
118000,2329.1,257033.5,387108,501309,99.7000,99.3000,97.3500,92.0000,64.3000,0.0000,209407.39,412.21
120000,2367.6,253586.9,498252,501469,99.8000,99.2000,97.0500,91.3000,62.3000,0.0500,209610.94,415.19
122000,2405.6,254523.9,387088,501733,99.8000,99.0500,97.0500,90.7500,63.7500,0.0000,209815.50,412.55
124000,2445.0,255594.3,386248,501718,99.6500,99.2000,97.3000,91.7000,63.8000,0.0000,209383.87,415.81
126000,2482.7,250006.2,413620,501895,99.6500,99.0500,96.7500,90.3000,62.7500,0.0000,210606.56,412.68
128000,2521.5,258801.7,464736,502094,99.4500,98.6500,96.8500,91.4000,66.4000,0.0500,209481.32,412.27
130000,2560.4,256822.7,532576,502218,99.9000,99.4000,97.4500,91.2000,64.5000,0.0500,209550.20,414.94
132000,2599.0,258953.4,387228,502451,99.7500,99.3000,97.3000,91.6500,65.4000,0.0000,209228.31,414.00
134000,2637.3,256398.4,486668,502674,99.6500,98.9500,96.6500,91.6000,64.0000,0.0500,209306.57,414.48
136000,2677.1,258339.0,514448,502664,99.9000,99.2000,97.6000,91.7000,64.2500,0.0500,209086.28,417.85
138000,2717.7,255488.5,576772,502418,99.7500,99.2000,97.0000,90.9500,64.4000,0.1000,209355.30,418.56
140000,2756.9,259517.5,533480,502541,99.8000,99.4500,97.8500,93.0500,65.3500,0.1000,209674.74,412.59
142000,2795.9,253508.8,387112,502560,99.7500,98.8500,96.7500,91.1000,63.5500,0.0000,210038.90,415.25
144000,2834.5,251758.9,386820,502579,99.7500,99.3000,97.3000,91.1500,61.8500,0.0000,210218.11,413.61
146000,2873.0,254666.9,413792,502714,99.6500,99.0500,96.6000,90.5500,63.6500,0.0000,209692.58,413.31
148000,2912.0,255474.6,556468,502762,99.6000,98.9500,96.4500,90.7500,64.1500,0.1500,209516.25,417.21
150000,2952.1,258080.3,489844,502693,99.7500,99.3000,97.6000,91.8000,64.5500,0.0500,209572.74,413.60
152000,2990.5,254199.6,387080,502812,99.6500,99.2000,97.4000,92.0000,63.9000,0.0000,210466.91,412.30
