episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
2000,20.7,231278.5,490848,875977,99.6000,98.2000,96.0500,89.6000,52.0000,0.0500,172059.00,390.21
4000,41.2,229913.9,511580,877739,99.6000,98.9000,96.4500,88.4000,50.9000,0.1000,171522.81,398.38
6000,62.1,231695.5,578520,873478,99.8000,98.9500,96.5500,87.8500,51.5500,0.0500,171555.41,398.40
8000,82.4,227169.5,555056,874893,99.7500,99.0500,95.8500,88.0500,49.3500,0.0500,172093.08,394.19
10000,102.6,229515.9,533156,878066,99.7000,98.8500,96.0000,87.3500,52.0500,0.0500,171984.06,393.17
12000,122.7,232307.8,474564,881946,99.6500,98.9500,96.6500,88.3000,52.2000,0.0500,171731.99,392.94
14000,142.7,229580.7,386884,884315,99.7000,98.8500,96.3000,88.7000,51.2500,0.0000,172006.24,395.75
16000,162.6,228953.7,387024,886576,99.7000,98.9000,96.3500,88.5500,50.8500,0.0000,172142.94,394.43
18000,182.6,230922.3,522012,888321,99.6500,99.1000,96.3500,87.9500,52.2000,0.1000,172018.43,394.40
20000,202.8,233235.8,498524,890074,99.4500,98.2000,95.5500,88.9000,52.9500,0.0500,171727.87,392.65
22000,222.5,226907.0,489564,890976,99.7000,99.0500,96.5500,87.4000,50.1000,0.0500,172485.50,390.40
24000,242.4,228322.1,387532,891676,99.6000,98.8000,96.2000,87.7000,50.4500,0.0000,172005.90,394.60
26000,262.2,229349.5,564108,892968,99.8000,99.1000,96.3500,87.8500,51.3500,0.0500,171946.38,393.93
28000,281.9,227394.3,508892,893706,99.7000,98.5000,95.6000,87.3000,50.2000,0.0500,171961.59,395.31
30000,301.9,231827.2,535448,894708,99.6500,99.2000,96.8500,88.0000,52.5000,0.0500,171947.50,396.64
32000,321.8,230352.9,486628,895397,99.8000,99.2500,97.4000,88.5500,50.6000,0.1000,172341.31,391.60
34000,341.9,231050.5,472064,895777,99.9500,99.2000,96.0500,89.3000,51.6000,0.0000,172211.52,394.37
36000,362.2,235670.6,516520,896209,99.7000,98.8500,96.4000,89.3000,53.6500,0.0500,171610.85,395.84
38000,382.4,232333.8,508280,896465,99.8000,98.8000,95.8000,87.4500,52.7500,0.0500,171770.37,395.86
40000,402.0,224764.7,387440,896632,99.5500,98.8000,96.5000,87.9000,48.6500,0.0000,172562.43,397.16
42000,421.9,230882.1,553544,897148,99.8500,99.3000,96.9000,87.8500,51.6000,0.0500,172315.78,392.63
44000,441.8,228961.8,504376,897415,99.7000,98.7500,96.0000,87.7000,51.2500,0.1000,172220.93,396.66
46000,461.8,232222.7,535620,897811,99.5500,98.4500,96.2000,87.8500,52.0500,0.0500,171900.75,393.70
48000,481.9,230898.7,387260,897866,99.5500,98.9500,96.1000,88.9000,51.7000,0.0000,172417.77,392.22
50000,501.8,229796.6,526344,898062,99.7000,99.0500,95.9500,87.5000,52.0000,0.1000,172408.88,392.71
52000,522.0,232048.7,524000,898212,99.8000,99.3500,96.6500,88.9000,51.7500,0.0500,172271.40,393.92
54000,541.8,232462.2,388356,898964,99.4000,98.7500,96.2000,89.1500,52.2500,0.0000,172304.80,390.04
56000,561.8,231162.0,387548,899121,99.9000,99.2500,96.8500,89.0500,50.9000,0.0000,172270.25,392.67
58000,581.8,230373.9,402364,899218,99.5000,98.5500,96.4000,88.8500,51.1000,0.0000,172305.51,393.54
60000,601.7,227749.0,386564,899238,99.5000,98.7000,95.7500,87.4500,50.3500,0.0000,172693.99,394.49
62000,621.8,231652.1,533388,899212,99.7500,98.9500,95.9000,88.0500,52.7000,0.0500,172385.79,395.05
64000,642.0,233572.1,524396,899448,99.7000,98.8500,96.4500,88.8500,52.6000,0.0500,172108.94,393.94
66000,661.9,234501.2,388552,900155,99.7500,98.7500,96.3000,89.6500,53.2500,0.0000,171987.43,397.00
68000,681.8,230799.1,439228,900286,99.6000,98.6000,96.1500,88.0500,51.5500,0.0000,172273.63,395.86
70000,701.7,230479.0,468964,900504,99.6500,98.8000,96.3500,88.9000,50.9500,0.0500,172550.01,394.30
72000,721.7,229072.6,526496,900485,99.8500,98.9000,95.8500,88.6500,49.8500,0.1500,172709.34,392.50
74000,741.6,232728.2,389244,900814,99.7500,99.2000,96.9000,90.1500,51.8000,0.0000,172471.30,395.38
76000,761.7,231572.1,386692,900859,99.8000,98.9000,96.8000,88.9000,50.6000,0.0000,172170.36,397.75
78000,781.9,232428.1,492928,900930,99.9000,99.3000,97.0500,89.4500,52.0000,0.0500,172769.46,393.77
80000,802.1,231190.1,511276,900715,99.6500,99.0500,96.7000,88.3500,51.7000,0.1000,172611.80,395.77
82000,822.7,234653.0,437196,900490,99.5500,98.6500,96.4500,89.6000,52.6500,0.0000,172421.26,392.43
84000,842.8,230920.1,513520,900475,99.8000,98.9500,96.6000,88.2500,51.9500,0.0500,172710.04,391.48
86000,863.1,232527.0,489312,900376,99.7500,99.0500,96.3000,89.3000,51.8000,0.0500,172583.77,392.50
88000,883.6,233234.7,443156,900188,99.7000,99.0500,96.0500,87.7000,52.9500,0.0000,172359.94,393.80
90000,903.2,229779.6,512924,900517,99.8000,98.8000,96.0000,88.6000,50.9500,0.1000,172663.92,395.50
92000,923.5,230485.5,492760,900331,99.8000,98.7000,96.1000,88.8500,51.5000,0.1000,172848.66,394.10
94000,943.3,231674.1,534052,900552,99.6500,98.9500,96.4500,89.0000,52.9000,0.0500,172725.43,393.43
96000,964.2,231976.2,461816,899908,99.6000,99.0000,96.1500,89.1500,51.3000,0.0500,172734.55,391.31
98000,984.8,234905.8,470688,899681,99.8000,99.0000,96.8000,89.5000,53.9000,0.0500,172671.98,394.08
100000,1004.7,226354.5,387192,899578,99.6500,98.9500,95.6500,87.7000,49.4000,0.0000,172973.88,397.43
102000,1024.3,226757.7,509500,899691,99.5000,98.6500,96.1000,88.0500,49.6000,0.0500,173152.99,394.34
104000,1044.0,226700.4,406180,899817,99.8000,99.0500,95.6500,87.6000,49.5500,0.0000,172942.75,397.97
106000,1064.1,232037.6,388424,899834,99.7000,99.0500,96.3500,88.7000,51.4500,0.0000,172565.43,393.70
108000,1083.9,230347.1,504696,900065,99.7000,98.8500,96.5500,88.8500,50.8500,0.1000,173281.00,390.05
110000,1104.5,226491.2,387400,899362,99.5500,98.6000,96.1500,88.2500,49.5000,0.0000,173216.46,395.92
112000,1124.7,232935.8,410836,899436,99.7500,98.9000,96.5500,89.0500,51.8500,0.0000,172857.57,391.94
114000,1144.4,226855.0,530752,899459,99.7500,98.7500,96.0000,87.2500,49.8500,0.1000,173079.97,396.70
116000,1164.2,232515.5,487960,899832,99.6500,98.7500,96.8500,88.3000,52.6000,0.0500,172870.60,394.32
118000,1184.3,232064.4,534476,899862,99.7500,99.1000,97.2000,88.6500,52.6500,0.0500,172987.87,392.77
120000,1204.3,232219.3,387160,900048,99.8000,99.3000,96.9000,89.0500,51.7500,0.0000,173082.50,393.05
122000,1225.1,232369.8,409608,899600,99.8500,99.1500,96.6500,88.8500,52.9500,0.0000,173188.61,391.96
124000,1245.8,233526.2,468780,899283,99.6500,98.8500,96.1500,89.1000,53.2500,0.0500,172719.75,395.16
126000,1265.4,231453.6,560864,899657,99.6500,98.7500,95.9500,88.4000,53.0500,0.0500,172993.92,393.41
128000,1285.0,229643.6,556368,899956,99.7500,98.8000,96.0500,87.8000,51.5500,0.0500,173135.49,394.25
130000,1304.7,229774.2,390176,900110,99.6500,99.1500,96.7500,88.1500,51.4500,0.0000,173340.97,393.40
132000,1324.2,231028.7,490928,900542,99.7000,99.0000,96.1500,89.0500,51.4500,0.1000,173106.92,394.30
134000,1344.1,230059.8,531512,900638,99.6500,98.7500,95.8000,88.0000,51.3000,0.0500,173141.44,395.82
136000,1364.6,230347.4,554092,900279,99.7500,98.9500,96.3000,89.0000,50.9500,0.0500,173497.45,389.90
138000,1385.0,234413.1,410744,900305,99.7000,99.0000,96.8500,89.5000,52.8000,0.0000,173097.56,392.51
140000,1404.7,230743.3,386924,900478,99.6000,98.9500,96.5500,88.3500,51.8500,0.0000,173538.78,390.70
142000,1424.7,230050.0,531860,900504,99.3500,98.8000,96.7500,88.8500,50.6500,0.0500,173367.28,394.30
144000,1444.8,234366.3,502316,900701,99.7000,98.9000,96.1500,88.6500,52.6000,0.0500,173261.48,388.58
146000,1464.6,229927.7,387000,900784,99.3500,98.7500,95.8500,88.8000,50.8000,0.0000,173303.93,393.62
148000,1484.8,230233.4,387244,900700,99.7500,98.8000,96.1000,88.5500,51.3000,0.0000,173592.55,389.81
150000,1505.5,231197.8,405828,900344,99.5500,98.7500,96.2000,88.6500,51.8500,0.0000,173307.83,394.36
152000,1525.8,234876.6,399852,900388,99.7000,98.9000,96.2500,89.1500,53.5000,0.0000,173041.69,394.16
154000,1545.8,230242.4,529696,900419,99.9000,99.1000,96.6500,88.0000,51.5500,0.0500,173584.59,391.84
156000,1566.1,233266.0,387420,900366,99.9000,99.1500,96.9500,88.3000,52.9000,0.0000,173251.19,395.55
158000,1586.0,231434.1,479460,900508,99.8000,99.0000,96.4500,88.7500,52.1000,0.0500,173341.21,395.70
160000,1606.2,232196.1,578920,900509,99.7500,99.0500,96.9000,88.9500,51.3000,0.0500,173575.79,391.14
162000,1627.0,234492.5,499732,900229,99.6500,99.0000,96.1500,88.7000,54.4500,0.0500,173215.57,394.16
164000,1647.1,232543.5,525180,900298,99.7000,98.8500,96.7500,88.9500,52.3000,0.0500,173306.48,395.04
166000,1667.1,232353.3,387040,900417,99.9000,99.0000,96.4500,89.2000,52.6000,0.0000,173604.09,392.89
168000,1686.8,229836.2,533444,900559,99.7500,98.8500,96.0000,88.0000,51.4500,0.0500,173432.88,394.46
170000,1706.4,230182.8,388100,900779,99.6000,98.9000,96.2500,88.2000,51.4500,0.0000,173594.35,394.07
172000,1726.4,235004.2,530848,900959,99.7000,99.0000,96.6500,89.0500,53.6500,0.0500,173359.90,393.82
174000,1746.9,231952.6,527576,900776,99.8500,99.0500,96.3000,88.1000,52.2500,0.2000,173380.68,396.59
176000,1767.8,235056.2,533240,900530,99.7500,99.3500,96.9500,89.4000,54.3000,0.0500,173643.23,392.05
178000,1788.1,234396.4,387184,900555,99.7000,99.0000,96.0500,88.0500,53.4000,0.0000,173215.16,395.23
180000,1808.0,233426.3,530748,900757,99.6500,99.2000,96.3000,89.4500,52.4500,0.1000,173475.77,395.74
