timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T18:08:31+00:00,runs/r7_ss.bin,600,244316,278672,59388,374668,533552,9490,99.50,96.00,88.50,58.00,0.17,1
2026-08-06T18:30:05+00:00,runs/r7_ss.bin,600,245466,281132,57268,376156,386944,9532,98.50,94.83,88.17,59.50,0.00,1
2026-08-06T18:48:33+00:00,runs/r7_ss.bin,600,248884,283344,75596,373860,464376,9650,99.00,97.67,91.50,60.00,0.17,1
2026-08-06T19:10:03+00:00,runs/r7_ss.bin,600,254909,288696,58112,367112,571388,9857,99.00,95.33,90.83,63.50,0.17,1
2026-08-06T19:28:31+00:00,runs/r7_ss.bin,600,252790,285004,57288,372556,411340,9783,98.50,95.67,90.17,63.17,0.00,0
2026-08-06T19:50:03+00:00,runs/r7_ss.bin,600,256771,285552,78852,377928,406240,9943,99.00,97.00,91.83,63.17,0.00,1
2026-08-06T20:08:32+00:00,runs/r7_ss.bin,600,260990,288708,73188,370084,385900,10066,98.50,97.17,92.33,67.50,0.00,1
2026-08-06T20:30:00+00:00,runs/r7_ss.bin,600,254789,288032,71188,367152,522360,9856,99.17,97.17,91.00,63.50,0.17,0
2026-08-06T20:48:27+00:00,runs/r7_ss.bin,600,256225,288608,69664,372220,387304,9905,98.83,96.17,91.33,64.67,0.00,0
2026-08-06T21:09:54+00:00,runs/r7_ss.bin,600,249558,285080,65456,375640,387372,9670,98.33,96.33,89.83,61.33,0.00,0
2026-08-06T21:28:21+00:00,runs/r7_ss.bin,600,253458,286376,71460,372052,439844,9809,99.17,97.00,91.00,63.33,0.00,0
