episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
98000,4186.2,270000.3,524420,243353,99.9000,99.6500,97.7500,93.1000,69.9000,0.1000,217347.75,397.61,0,0,0
100000,4272.6,269989.5,486484,243296,99.9000,99.5500,97.4000,93.1500,70.4000,0.0500,217132.95,399.54,0,0,0
102000,4357.2,268658.7,531556,243324,99.8000,99.3000,97.1500,92.4000,69.3500,0.1000,216974.57,401.06,0,0,0
104000,4442.9,270394.5,517956,243310,99.8000,99.4500,97.5500,92.6500,70.9500,0.0500,217138.99,397.85,0,0,0
106000,4528.2,268428.4,388432,243295,99.5000,98.7000,96.8500,93.0000,69.9500,0.0000,217480.97,396.00,0,0,0
108000,4612.3,264916.4,515476,243284,99.9000,99.3000,96.8500,91.7000,68.0500,0.0500,217625.40,401.49,0,0,0
110000,4696.5,268707.3,387472,243330,99.9000,99.3000,97.5500,92.8000,69.6500,0.0000,217399.59,400.81,0,0,0
112000,4781.6,271454.8,523696,243375,99.9000,99.3000,97.4500,92.7000,70.0500,0.1000,216732.54,403.20,0,0,0
114000,4867.7,271409.5,563836,243357,99.8000,99.2500,97.7000,92.8000,71.0000,0.0500,216859.59,401.67,0,0,0
116000,4951.1,265386.7,483612,243392,99.7000,99.0500,96.9000,92.6000,67.8000,0.0500,217672.47,398.99,0,0,0
118000,5036.8,270194.5,525996,243384,99.7500,99.3000,97.8500,93.9000,69.2500,0.1500,217540.57,397.91,0,0,0
120000,5121.5,267591.0,533168,243385,99.6000,98.9500,97.4000,92.7000,68.6500,0.0500,217560.78,396.89,0,0,0
122000,5206.5,268615.4,561580,243390,99.6500,99.1500,97.7500,92.8500,69.4500,0.1000,217826.08,396.35,0,0,0
124000,5293.4,274625.6,385544,243382,99.9000,99.5000,97.9500,93.9500,71.3000,0.0000,216743.75,400.65,0,0,0
126000,5378.3,268900.2,584136,243394,99.9500,99.2000,96.7500,92.7000,69.2500,0.0500,217245.90,402.08,0,0,0
128000,5463.5,271377.5,387312,243422,99.6000,99.0000,97.5500,93.0000,70.9000,0.0000,217102.10,400.92,0,0,0
130000,5547.4,268108.9,571244,243467,99.8500,99.3500,97.0000,91.8500,69.1000,0.1500,217217.55,399.13,0,0,0
132000,5632.4,269625.8,530748,243475,99.9000,99.4000,98.1000,93.1000,70.1500,0.0500,217370.74,400.44,0,0,0
134000,5717.7,269798.5,494052,243477,99.7500,99.2500,97.6000,92.8500,70.0000,0.1000,217416.01,401.84,0,0,0
136000,5803.1,271891.5,534200,243503,99.9000,99.4000,97.7000,93.3500,70.3000,0.0500,217081.40,401.78,0,0,0
138000,5888.3,269790.7,488656,243509,99.8500,99.2500,97.3000,93.3000,69.9000,0.0500,217661.77,399.77,0,0,0
140000,5973.8,273853.9,387524,243553,99.7500,99.4500,98.4500,93.6000,70.9000,0.0000,216784.68,404.38,0,0,0
142000,6060.4,272897.6,519712,243535,99.9500,99.3500,97.2500,93.0000,71.1500,0.2000,216867.14,400.80,0,0,0
144000,6145.7,269934.1,557244,243538,99.9000,99.5500,97.8000,93.1500,69.7000,0.1000,217534.66,397.64,0,0,0
146000,6231.2,269587.0,484992,243528,99.8000,99.5000,97.7000,93.0500,69.8500,0.0500,217779.28,397.50,0,0,0
148000,6317.9,274639.1,386112,243529,99.9500,99.5000,98.2000,94.2500,71.6000,0.0000,217079.92,400.51,0,0,0
150000,6403.6,272109.1,388156,243539,99.8000,99.3000,97.7000,93.6000,71.0000,0.0000,217399.84,395.97,0,0,0
152000,6488.8,270948.0,532800,243555,99.7000,99.1500,97.6000,93.3500,70.9000,0.1000,217647.03,397.93,0,0,0
154000,6574.0,270348.2,387100,243564,99.7000,99.3000,97.3500,92.8500,70.2500,0.0000,217376.50,399.65,0,0,0
156000,6658.0,269547.4,387084,243609,99.8000,99.5500,97.6000,92.2000,69.8500,0.0000,217488.76,400.47,0,0,0
158000,6743.2,273464.0,552640,243650,99.9000,99.7000,98.2000,93.5500,71.1500,0.1500,217465.13,397.47,0,0,0
160000,6827.1,268265.1,469000,243685,99.7000,99.0000,97.3000,92.9000,68.7500,0.0500,217780.24,397.03,0,0,0
