episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,141.6,281876.7,608356,152986,99.7000,99.4000,98.2000,93.9000,73.7000,0.1000,223218.06,372.88,0,0,0
4000,284.8,285655.0,532384,153026,99.8000,99.3500,98.1000,94.6500,75.7500,0.1000,222698.57,376.59,0,0,0
6000,424.8,285401.7,609624,154150,99.7000,99.4500,97.9500,94.8500,74.9000,0.1000,223013.64,373.55,0,0,0
8000,560.2,282466.7,390584,155625,99.9500,99.3000,97.7500,93.5000,74.6000,0.0000,222997.37,374.67,0,0,0
10000,696.8,284712.9,521600,156474,99.8500,99.1000,97.8500,94.2000,74.9500,0.2000,222675.73,375.22,0,0,0
12000,833.3,286168.0,564724,157201,99.9500,99.7500,98.0500,94.4500,75.4500,0.1500,222947.47,371.19,0,0,0
14000,969.2,282882.9,557604,157575,99.9000,99.4500,98.2500,93.6000,74.0500,0.2000,222934.23,375.92,0,0,0
16000,1105.1,280457.3,521608,157711,99.8500,99.5000,98.1000,94.1000,73.2500,0.1000,223678.77,370.17,0,0,0
18000,1240.9,279559.5,565564,157779,99.9500,99.4000,97.5500,93.5000,72.9500,0.1000,223366.33,374.71,0,0,0
20000,1382.6,285347.8,559808,157442,99.8500,99.3500,97.9000,94.2000,74.6500,0.1500,222589.80,375.95,0,0,0
22000,1521.0,287434.7,524240,157620,99.9000,99.6500,98.5000,94.8500,76.2000,0.1000,222881.99,370.94,0,0,0
24000,1656.3,283690.3,532884,157896,99.9000,99.5500,98.0500,94.7500,74.0500,0.2500,223306.30,372.18,0,0,0
26000,1796.1,283655.1,529392,157729,99.8000,99.5500,98.0000,94.0500,74.7500,0.1500,223400.04,372.28,0,0,0
28000,1933.6,286339.8,525976,157879,99.9500,99.5500,98.2000,94.8000,75.3500,0.1500,223034.92,372.12,0,0,0
30000,2069.6,287078.6,560876,158141,99.8500,99.5000,97.9000,95.2000,75.8500,0.1500,222951.61,374.84,0,0,0
32000,2213.0,286158.9,533384,157813,99.9000,99.6500,98.7000,94.4000,76.0000,0.0500,223337.01,370.48,0,0,0
34000,2353.4,283825.6,525928,157663,99.8000,99.1000,97.8000,93.8000,74.3500,0.0500,222957.30,373.11,0,0,0
36000,2494.9,282210.4,565920,157415,99.9000,99.5500,98.1500,94.2000,73.7000,0.1500,223673.09,373.10,0,0,0
38000,2636.4,282904.7,540372,157206,99.6500,99.3000,97.4000,93.4000,74.1000,0.1000,223243.39,373.13,0,0,0
40000,2777.3,283005.8,602620,157054,100.0000,99.4000,97.6000,93.6000,74.9000,0.2000,223361.83,374.07,0,0,0
42000,2920.7,286385.2,561880,156868,99.8000,99.3000,98.2000,94.9000,75.3000,0.2500,223451.02,371.86,0,0,0
44000,3068.2,286327.4,531484,156482,99.8000,99.3500,98.0000,93.8000,75.8500,0.2500,222931.44,374.88,0,0,0
46000,3209.5,283157.4,576068,156367,99.6500,99.2000,97.9000,94.3000,74.6000,0.1000,223830.05,370.94,0,0,0
