timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T14:02:06+00:00,runs/r6_a15.bin,600,246024,279512,71460,375876,399216,9559,99.00,96.67,89.67,59.17,0.00,1
2026-08-06T14:14:39+00:00,runs/r6_a15.bin,600,249978,281540,76548,376216,513228,9688,98.50,97.33,91.00,62.00,0.17,1
2026-08-06T14:30:06+00:00,runs/r6_a15.bin,600,246056,270224,76344,372920,387844,9568,99.50,97.67,90.33,57.67,0.00,0
2026-08-06T14:45:37+00:00,runs/r6_a15.bin,600,252782,285688,76336,374232,553420,9797,99.00,98.00,90.83,61.83,0.17,1
2026-08-06T15:01:10+00:00,runs/r6_a15.bin,600,255880,286624,65192,374336,410476,9895,98.83,96.00,90.17,64.33,0.00,1
2026-08-06T15:16:41+00:00,runs/r6_a15.bin,600,256629,286712,78352,372584,469228,9915,98.83,97.17,92.33,65.00,0.17,1
2026-08-06T15:32:08+00:00,runs/r6_a15.bin,600,252267,286636,68992,375336,536280,9766,98.50,96.17,89.50,61.83,0.50,0
2026-08-06T15:44:36+00:00,runs/r6_a15.bin,600,253503,288284,72828,373772,385820,9817,98.83,97.00,91.17,62.33,0.00,0
2026-08-06T16:00:05+00:00,runs/r6_a15.bin,600,251063,283000,76192,372648,529844,9732,99.50,97.17,91.00,61.33,0.17,0
