timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T10:53:04+00:00,runs/r5.bin,600,245135,277612,61072,376132,475256,9529,99.33,97.17,89.50,58.83,0.17,1
2026-08-06T11:05:34+00:00,runs/r5.bin,600,244703,275580,61380,377180,386632,9522,98.83,96.50,88.00,58.83,0.00,0
2026-08-06T11:21:04+00:00,runs/r5.bin,600,248894,283944,61476,376024,391608,9663,99.17,96.67,89.33,60.00,0.00,1
2026-08-06T11:36:38+00:00,runs/r5.bin,600,251417,279224,79480,373704,488728,9758,99.67,98.17,92.50,60.00,0.17,1
2026-08-06T11:52:19+00:00,runs/r5.bin,600,251670,284672,75768,375944,387100,9767,99.00,97.00,90.33,60.67,0.00,1
2026-08-06T12:07:49+00:00,runs/r5.bin,600,244376,278512,59328,367596,402076,9491,99.00,96.00,87.33,60.00,0.00,0
2026-08-06T12:20:21+00:00,runs/r5.bin,600,246263,277184,78844,374792,387176,9578,99.17,97.67,90.83,58.17,0.00,0
2026-08-06T12:35:54+00:00,runs/r5.bin,600,249090,280240,67536,375920,504268,9659,98.83,96.00,90.67,61.17,0.17,0
2026-08-06T12:51:25+00:00,runs/r5.bin,600,250569,281704,76120,372792,402320,9714,99.67,97.50,91.17,61.00,0.00,0
