timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T22:23:24+00:00,runs/r8_ctl.bin,600,253317,285616,75396,372828,386564,9797,98.67,97.00,91.83,63.00,0.00,1
2026-08-06T22:44:55+00:00,runs/r8_ctl.bin,600,252005,285536,77740,371584,387372,9759,99.17,97.50,91.33,62.17,0.00,0
2026-08-06T23:03:25+00:00,runs/r8_ctl.bin,600,257273,288776,77464,366840,385212,9929,99.50,98.17,92.33,65.17,0.00,1
2026-08-06T23:24:55+00:00,runs/r8_ctl.bin,600,251823,286300,76440,373732,533244,9754,99.00,96.33,91.33,61.50,0.17,0
2026-08-06T23:43:27+00:00,runs/r8_ctl.bin,600,260206,288924,74576,373860,505204,10039,98.83,97.83,91.50,67.33,0.17,1
2026-08-07T00:04:59+00:00,runs/r8_ctl.bin,600,258871,289704,68380,376128,386704,9993,98.33,96.50,91.67,65.83,0.00,0
2026-08-07T00:23:26+00:00,runs/r8_ctl.bin,600,257357,288528,70548,371760,514580,9938,98.67,96.83,91.00,65.17,0.17,0
2026-08-07T00:44:53+00:00,runs/r8_ctl.bin,600,255519,287936,73232,373520,386432,9876,99.00,97.17,91.33,64.17,0.00,0
2026-08-07T01:03:23+00:00,runs/r8_ctl.bin,600,259525,288212,76528,373572,387448,10020,99.83,97.67,92.83,66.33,0.00,0
2026-08-07T01:24:53+00:00,runs/r8_ctl.bin,600,262639,289808,59592,376664,562716,10128,98.83,96.67,91.67,66.67,0.17,1
2026-08-07T01:43:24+00:00,runs/r8_ctl.bin,600,256165,287236,60600,372492,504912,9891,98.83,96.33,90.83,65.83,0.33,0
