episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,2091.4,238065.2,386464,483380,99.9000,99.1000,96.7000,88.0000,56.2000,0.0000,177899.39,397.81
112000,2128.0,233293.5,499936,483636,99.7500,98.9000,96.2500,87.7000,53.3500,0.0500,178205.64,398.65
114000,2165.6,239736.7,489160,483861,99.5500,98.6000,96.3000,89.3500,55.2000,0.0500,177608.26,397.96
116000,2203.1,234335.2,509332,483936,99.6500,98.5500,96.3000,88.8500,53.9500,0.1000,178464.54,399.75
118000,2240.1,234313.8,470044,484116,99.5000,98.4000,95.6000,87.6500,54.3000,0.0500,178081.30,400.32
120000,2277.8,237808.6,411548,484249,99.6000,98.8000,95.6500,88.4500,54.9500,0.0000,177853.28,398.28
122000,2315.2,234812.8,539184,484348,99.7500,99.2500,96.5500,89.1000,53.6000,0.0500,178853.31,395.76
124000,2353.3,238149.6,387232,484413,99.5500,99.0000,97.3500,89.2000,54.2000,0.0000,178127.37,399.11
126000,2391.3,240123.4,523272,484542,99.9000,98.9000,96.4000,89.3000,56.5000,0.0500,178255.29,397.30
128000,2428.1,231505.4,387256,484674,99.6000,98.9000,96.3000,87.7000,51.8000,0.0000,178605.45,397.88
130000,2465.4,233522.3,485336,484723,99.5000,98.3500,95.7000,88.3500,53.3500,0.0500,178826.41,400.29
132000,2501.6,233810.4,446252,485023,99.7000,98.8500,96.6500,87.1500,52.5000,0.0000,178366.96,397.76
134000,2537.4,233432.9,521092,485369,99.7500,98.9500,96.0500,86.6500,53.5000,0.0500,178532.18,398.25
136000,2573.5,234569.9,387056,485693,99.8500,98.5000,95.6000,88.6000,54.0500,0.0000,178653.39,401.44
138000,2609.4,235096.4,387396,486050,99.7000,98.8000,96.1500,88.2000,53.7500,0.0000,178626.76,401.43
140000,2646.2,235970.9,490884,486254,99.5500,98.5500,96.8000,88.9500,53.7000,0.1000,178588.72,399.24
142000,2681.7,235604.7,504608,486669,99.7000,98.8500,96.6500,88.3000,54.4000,0.0500,178643.73,401.42
144000,2717.9,236416.0,533324,486983,99.5500,98.5500,96.0500,88.1500,54.7500,0.0500,178584.89,400.76
146000,2754.7,237235.6,401616,487195,99.7000,98.7000,95.8500,89.0000,54.3000,0.0000,178887.60,394.45
148000,2792.1,232431.2,532960,487175,99.7500,98.9500,96.6000,88.3000,52.4000,0.1000,179193.49,396.78
150000,2830.1,236842.7,387708,487177,99.8500,98.8000,96.6500,88.8500,54.6500,0.0000,178759.70,399.79
152000,2866.8,232931.4,483556,487284,99.6000,98.9000,96.5000,87.7500,53.0000,0.0500,178922.25,402.45
154000,2904.2,234995.6,406720,487331,99.4500,98.5000,95.4500,87.6500,53.9000,0.0000,178648.07,401.65
156000,2942.5,237646.0,387664,487280,99.4500,98.7000,96.1500,89.6500,55.9000,0.0000,179290.70,397.35
158000,2980.2,234711.1,407024,487275,99.8000,99.2000,96.7000,88.3500,53.8000,0.0000,179101.81,396.59
160000,3018.6,237382.3,506648,487212,99.6500,98.9000,96.3500,89.8000,54.6000,0.0500,179388.63,395.51
162000,3055.8,233546.6,388472,487262,99.7500,98.7500,95.7500,87.4500,53.6500,0.0000,179052.62,402.20
164000,3094.7,239654.5,433056,487173,99.8000,99.0000,97.0500,89.4500,55.4500,0.0000,178493.55,402.44
166000,3132.7,236168.8,531724,487146,99.7500,98.8500,96.3500,88.5500,53.7000,0.0500,178808.87,401.67
168000,3177.4,233577.3,527428,486050,99.4500,98.7000,96.3500,88.5500,53.5000,0.0500,179501.98,400.14
170000,3225.1,236787.2,470668,484591,99.8000,98.7500,96.2500,88.0500,55.2500,0.0000,179130.68,401.35
172000,3262.0,239252.0,546052,484830,99.8000,99.1000,96.2000,89.2500,55.5000,0.1000,179167.67,398.39
174000,3298.6,240124.2,426720,485116,99.6500,98.9000,96.3000,88.9000,55.9000,0.0000,178581.64,401.33
176000,3334.6,235994.0,533224,485405,99.8500,99.0000,96.5500,89.2500,54.2500,0.0500,179441.36,401.39
178000,3371.0,239597.2,430776,485712,99.6000,98.8000,96.2000,88.6000,56.1500,0.0000,178949.35,403.24
180000,3406.6,235962.3,418112,486046,99.5000,98.7000,95.2500,88.0000,54.1500,0.0000,179285.37,403.47
182000,3442.5,238397.2,438972,486386,99.7000,98.8500,96.6500,88.5000,55.0500,0.0000,179217.59,398.47
184000,3478.1,236920.7,570196,486710,99.7000,98.9000,96.2000,88.4500,55.5000,0.0500,179437.84,403.43
186000,3513.7,236275.0,389748,487034,99.9000,99.0500,96.4000,89.4500,55.2000,0.0000,179646.99,403.22
188000,3550.7,235711.7,522336,487138,99.8000,98.7500,96.3500,89.0500,53.9500,0.0500,179740.55,398.91
190000,3587.5,238826.9,523996,487335,99.9500,98.9000,96.3500,88.9000,55.4500,0.0500,179457.57,401.05
