episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,134.8,269540.1,553976,153920,99.9000,99.2500,97.4500,92.7000,70.8500,0.2000,216311.72,398.96,0,0,0
4000,269.4,270353.3,571184,154251,99.8500,99.2500,97.8000,93.4500,70.3500,0.0500,216374.44,399.30,0,0,0
6000,399.9,269459.8,507260,155817,99.7500,99.2000,97.5500,92.9500,69.8000,0.0500,216392.95,392.21,0,0,0
8000,535.4,276993.7,576692,156094,99.9000,99.2000,97.7500,94.0000,73.4500,0.1000,215488.32,395.58,0,0,0
10000,669.0,272527.6,386928,156287,99.8500,99.5500,97.9000,93.6500,70.4000,0.0000,216161.69,391.57,0,0,0
12000,803.1,271167.6,528776,156212,99.8500,99.6000,97.6000,92.8000,69.6000,0.1000,215863.95,395.97,0,0,0
14000,938.1,272398.6,497084,156076,99.9000,99.4500,97.7000,93.3000,70.0000,0.0500,215831.54,391.27,0,0,0
16000,1071.3,271903.5,513004,156207,99.6500,98.9500,97.6000,94.3000,70.7000,0.1000,216439.61,388.18,0,0,0
18000,1205.1,273013.3,516952,156301,99.8500,99.6500,98.5000,94.3000,70.6000,0.0500,216242.69,387.82,0,0,0
20000,1339.8,274846.8,553748,156372,99.9000,99.2500,98.0500,93.7000,71.4000,0.1000,216080.55,384.99,0,0,0
22000,1473.9,273440.7,581304,156415,99.8000,99.4500,97.5500,93.5000,70.8500,0.1500,216011.86,390.64,0,0,0
24000,1606.2,272573.0,556560,156599,99.8000,99.4500,97.5500,92.8000,70.5500,0.1500,216053.83,388.73,0,0,0
26000,1739.5,272197.9,548296,156645,99.9500,99.3000,97.7500,93.4500,70.7000,0.1500,216330.20,386.09,0,0,0
28000,1872.2,268807.6,524248,156602,99.7500,99.3000,97.5000,92.7000,68.6000,0.0500,216546.66,387.15,0,0,0
30000,2005.7,273735.6,551496,156677,99.8500,99.3000,97.5500,93.2000,71.1500,0.1500,216072.10,386.15,0,0,0
32000,2137.0,271322.9,521692,156827,99.7500,99.1500,97.8000,94.1500,69.6500,0.0500,216556.36,385.29,0,0,0
34000,2271.4,276150.4,560248,156899,99.9000,99.6500,98.2000,93.8000,71.6500,0.0500,215893.45,387.46,0,0,0
36000,2406.5,276105.3,530624,156916,99.7500,99.1500,97.9000,93.9500,72.2000,0.1000,216029.10,385.55,0,0,0
38000,2540.1,274364.2,387508,156978,99.9500,99.6000,98.0500,94.2000,70.2500,0.0000,216169.78,385.18,0,0,0
40000,2674.6,273102.9,557216,156941,99.6000,99.3000,97.4000,93.8000,71.1000,0.0500,216303.80,386.80,0,0,0
42000,2810.1,274068.1,512024,156878,99.9000,99.5000,98.1500,94.0000,70.5000,0.1000,216535.75,382.55,0,0,0
44000,2944.7,273646.2,516244,156859,99.9500,99.7000,97.9000,92.7000,71.4000,0.1000,216235.62,386.35,0,0,0
46000,3078.9,273130.5,513120,156843,99.8500,99.1500,97.2000,92.5000,72.0500,0.1000,216451.62,382.44,0,0,0
48000,3212.1,273197.7,387356,156888,99.8000,99.3500,97.8500,93.9000,71.1000,0.0000,216635.97,380.88,0,0,0
50000,3345.6,274410.9,533156,156937,99.8500,99.3000,97.5500,93.1000,71.0000,0.1000,216284.07,379.93,0,0,0
52000,3479.7,272841.3,554444,156920,99.9000,99.4500,97.6000,93.2000,70.9000,0.0500,216691.61,381.20,0,0,0
54000,3610.6,271764.3,534764,157025,99.6500,99.3000,97.5500,93.0000,70.2000,0.1000,216493.65,382.60,0,0,0
56000,3745.1,274816.7,500820,157027,99.8500,99.5000,97.7000,93.7500,71.7000,0.1000,216514.65,379.16,0,0,0
58000,3879.5,274661.5,529388,157033,99.6000,99.2500,97.9500,92.9000,71.8000,0.1000,216299.65,381.41,0,0,0
60000,4013.8,273877.6,390580,157027,99.7500,99.2500,97.1500,92.7500,71.7000,0.0000,216609.40,380.35,0,0,0
62000,4147.5,274731.0,529312,157061,99.8500,99.5000,97.4500,92.7000,71.3000,0.2000,216649.84,379.58,0,0,0
64000,4283.6,277378.5,552328,157048,99.9000,99.3000,97.6500,93.7500,72.9000,0.1000,216225.14,380.65,0,0,0
66000,4419.3,275245.9,566340,157014,99.8000,99.5500,97.2500,92.6500,72.0000,0.0500,216329.38,380.62,0,0,0
68000,4554.4,275505.0,551388,157009,99.7000,99.2500,97.6500,93.2500,71.8000,0.1000,216535.26,378.25,0,0,0
70000,4689.5,277079.4,387096,157027,99.8500,99.4500,97.9500,93.7500,73.1500,0.0000,216440.48,379.69,0,0,0
72000,4823.8,276195.2,386524,157054,99.9500,99.6500,97.8500,93.9000,73.0500,0.0000,216726.27,378.28,0,0,0
74000,4960.7,280552.1,424520,157062,99.7000,99.5000,97.8500,93.5500,74.3500,0.0000,215597.44,384.37,0,0,0
76000,5094.2,272660.1,531652,157066,99.5500,99.2000,97.4000,92.6500,70.9000,0.0500,216878.72,381.96,0,0,0
78000,5231.5,278551.5,529964,157036,99.7500,99.4500,98.3000,93.3500,73.0500,0.1000,216464.29,378.38,0,0,0
80000,5366.9,276825.2,532448,157042,99.9500,99.4500,97.7000,93.4500,71.6500,0.1000,216304.01,379.56,0,0,0
82000,5500.0,271493.8,519124,157043,99.8000,99.1500,97.1000,92.5000,70.1500,0.0500,216700.92,384.09,0,0,0
84000,5634.6,275158.4,530892,157047,99.8500,99.4500,97.7500,93.8000,71.9000,0.0500,216808.83,380.35,0,0,0
86000,5769.2,276278.9,513244,157064,99.8500,99.3000,97.9500,93.3500,72.4000,0.0500,216631.50,379.11,0,0,0
88000,5904.3,275502.1,555200,157061,99.9000,99.3000,97.7000,93.4000,71.4500,0.1000,216479.23,380.23,0,0,0
90000,6038.5,277517.4,495912,157101,99.9000,99.5000,98.0000,93.8000,73.1000,0.1000,216914.24,376.95,0,0,0
92000,6174.0,278255.9,507144,157115,99.8500,99.3500,97.3000,93.9500,73.3000,0.1500,216866.22,373.89,0,0,0
94000,6308.6,275807.5,501544,157127,99.8000,99.4500,97.7000,93.7500,72.2000,0.0500,216996.70,377.88,0,0,0
96000,6441.5,274063.0,528084,157156,99.9000,99.4000,97.4000,93.3000,71.7000,0.1000,217314.17,377.00,0,0,0
98000,6576.5,275494.0,529592,157151,99.5500,99.2500,98.0500,93.9500,72.0000,0.1000,217162.79,379.36,0,0,0
100000,6710.6,276712.2,445112,157181,99.9500,99.6000,97.4500,93.5500,72.7000,0.0000,216891.24,377.70,0,0,0
102000,6843.5,274964.0,540144,157220,99.9000,99.3500,97.6000,93.0500,71.0500,0.1500,216749.92,381.45,0,0,0
104000,6977.4,274240.8,605688,157230,99.8500,99.3500,98.0500,94.1500,70.3000,0.2000,217258.95,378.83,0,0,0
106000,7112.3,275615.7,511240,157229,99.9000,99.5000,97.7500,94.0500,71.4000,0.0500,217161.92,376.92,0,0,0
108000,7247.5,276435.7,531476,157226,99.8500,99.4500,98.0000,93.3500,72.6000,0.1000,217043.37,377.63,0,0,0
110000,7383.2,277123.4,470564,157222,99.7500,98.9500,98.0500,94.1500,72.6500,0.0500,216935.95,378.62,0,0,0
112000,7520.9,280407.0,528308,157207,99.7500,99.5000,98.3000,94.7500,73.6500,0.1500,216917.50,374.77,0,0,0
