timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-08T14:03:12+00:00,/tmp/2m48/r12_ctl.bin,600,289144,333032,80616,380976,574532,11083,99.50,97.17,93.83,76.67,0.17,0
2026-08-08T14:50:14+00:00,/tmp/2m48/r12_ctl.bin,600,280399,326692,80344,380584,387176,10777,99.33,97.67,93.17,73.00,0.00,0
2026-08-08T15:37:13+00:00,/tmp/2m48/r12_ctl.bin,600,286558,331288,87816,380584,521620,10993,99.50,98.67,94.67,75.50,0.33,0
2026-08-08T16:24:13+00:00,/tmp/2m48/r12_ctl.bin,600,288247,329876,80908,381384,581536,11054,99.00,98.00,94.50,76.17,0.33,0
2026-08-08T17:11:22+00:00,/tmp/2m48/r12_ctl.bin,600,285038,330000,80812,380932,576432,10944,99.50,98.33,93.83,74.00,0.33,0
