timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T07:42:03+00:00,runs/r4_lo.bin,600,239908,260704,77956,380552,387076,9376,99.83,97.67,90.83,53.83,0.00,1
2026-08-06T07:54:29+00:00,runs/r4_lo.bin,600,237259,247972,65408,376456,384816,9262,99.33,97.33,88.17,54.33,0.00,0
2026-08-06T08:09:57+00:00,runs/r4_lo.bin,600,237577,265468,73272,373896,387080,9280,99.00,96.83,90.17,54.17,0.00,0
2026-08-06T08:25:27+00:00,runs/r4_lo.bin,600,236575,245380,74428,378320,506856,9254,98.50,96.67,88.50,52.67,0.17,0
2026-08-06T08:40:56+00:00,runs/r4_lo.bin,600,236013,245928,62072,380840,409992,9231,99.00,95.67,86.83,53.17,0.00,0
2026-08-06T08:56:26+00:00,runs/r4_lo.bin,600,234745,245248,70740,376244,511708,9164,98.33,97.17,88.17,53.67,0.17,0
2026-08-06T09:12:00+00:00,runs/r4_lo.bin,600,244545,269740,80344,378188,385916,9536,99.67,98.33,92.17,56.83,0.00,1
2026-08-06T09:24:27+00:00,runs/r4_lo.bin,600,234480,246016,74288,373436,407428,9162,99.17,97.00,89.50,54.00,0.00,0
2026-08-06T09:39:54+00:00,runs/r4_lo.bin,600,229167,217468,68144,375776,386752,8977,99.00,96.33,88.00,50.17,0.00,0
