timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-06T03:27:03+00:00,runs/phase2.bin,600,212337,176912,60352,366700,386300,8394,99.50,95.83,85.67,43.50,0.00,1
2026-08-06T03:33:14+00:00,runs/phase2.bin,600,217765,177432,55408,375656,387212,8567,98.67,95.33,84.17,46.83,0.00,1
2026-08-06T03:53:25+00:00,runs/phase2.bin,600,221612,177832,55308,375116,387272,8719,98.83,95.50,86.33,48.00,0.00,1
2026-08-06T04:13:37+00:00,runs/phase2.bin,600,224804,192048,62972,374216,387948,8831,98.67,96.00,87.83,49.17,0.00,1
2026-08-06T04:33:50+00:00,runs/phase2.bin,600,225449,224960,59912,377300,387512,8850,99.00,96.00,86.50,50.00,0.00,1
2026-08-06T04:52:02+00:00,runs/phase2.bin,600,226969,178444,70116,378176,386608,8917,98.67,95.67,87.50,48.50,0.00,1
2026-08-06T05:12:13+00:00,runs/phase2.bin,600,228880,218844,60524,376220,384868,8974,99.00,95.50,88.67,50.00,0.00,1
