episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
110000,2089.8,234549.8,462504,483174,99.9000,99.1500,96.4000,88.9000,53.0500,0.0500,176766.10,398.80
112000,2127.1,233558.8,561276,483289,99.6500,98.8500,95.9500,88.6000,53.2000,0.0500,177016.30,401.83
114000,2164.8,237312.5,387064,483439,99.8500,98.7000,96.6000,88.3000,54.9500,0.0000,176540.26,399.27
116000,2202.7,235929.9,386876,483478,99.4500,98.6500,96.5500,89.3500,54.2000,0.0000,176984.28,396.33
118000,2240.2,236955.8,387744,483643,99.6500,99.1000,96.2500,88.8500,54.2000,0.0000,176697.66,396.57
120000,2276.5,232430.8,479880,483907,99.6000,98.4500,95.4500,87.9500,53.0500,0.0500,177170.01,396.64
122000,2313.4,233322.3,387384,484086,99.7000,98.9000,96.1500,89.3500,52.7500,0.0000,177263.35,398.86
124000,2351.1,237195.4,532712,484180,99.5500,98.7000,96.6000,88.6500,54.9500,0.1000,176806.23,397.87
126000,2389.2,237634.8,386924,484232,99.8000,99.2500,96.4000,89.3500,53.6000,0.0000,176722.21,396.45
128000,2425.9,231196.7,485060,484373,99.7500,98.9500,96.7000,87.3500,52.1500,0.1000,177487.01,396.83
130000,2463.1,235738.7,555208,484527,99.9000,99.0500,96.1500,88.1000,53.7500,0.0500,176739.92,398.44
132000,2499.7,237875.9,387384,484858,99.8000,98.6000,95.4500,87.9000,55.7000,0.0000,177034.26,394.59
134000,2536.1,235807.1,435716,485157,99.7000,98.9000,96.1500,88.0500,55.1000,0.0000,176810.11,401.61
136000,2572.7,234491.5,523624,485380,99.7000,98.9500,96.3500,88.2500,54.0500,0.0500,177057.93,399.92
138000,2609.2,234127.6,409440,485593,99.5500,98.8000,96.0500,88.8000,53.0000,0.0000,177199.88,396.35
140000,2645.6,236113.2,524036,485891,99.7000,99.0500,96.1000,88.2000,54.4000,0.0500,177057.42,398.27
142000,2681.8,235815.6,520552,486198,99.7000,98.9500,96.5500,88.6500,54.0500,0.0500,177108.89,395.01
144000,2718.6,236997.4,509540,486430,99.8000,99.3000,96.7000,89.5000,54.4500,0.0500,177480.11,393.81
146000,2754.6,231577.3,409404,486635,99.6500,98.6000,95.5000,88.0000,52.7000,0.0000,177552.77,396.93
148000,2792.3,232895.7,532192,486597,99.6000,98.8500,95.9500,88.7500,52.3000,0.0500,177325.40,397.58
150000,2830.2,236081.2,529372,486586,99.7500,98.8500,96.8500,88.9500,54.2000,0.0500,177363.03,396.60
152000,2867.6,237192.0,532864,486699,99.4500,98.5500,96.2000,89.2000,54.8000,0.1000,177283.73,397.26
154000,2905.2,234863.4,469772,486730,99.6000,98.9500,96.3500,89.5000,52.7500,0.0500,177227.29,397.94
156000,2943.4,239959.8,407576,486764,99.8500,99.3000,97.1000,90.0500,55.3000,0.0000,177024.29,397.55
158000,2980.7,232847.0,534664,486782,99.7000,98.9000,95.8500,86.7000,53.8000,0.1000,177522.21,399.74
160000,3018.9,235857.4,419028,486723,99.7500,99.1000,97.2000,90.0000,53.0000,0.0000,177502.75,397.50
162000,3055.8,232858.3,550324,486811,99.5500,99.0000,95.9000,88.2000,52.5500,0.1000,177562.55,398.36
164000,3093.4,233655.2,387216,486804,99.5000,99.0000,96.1000,88.6500,52.5000,0.0000,177686.58,395.52
166000,3130.6,231923.9,386936,486806,99.5500,98.6000,95.9500,87.4500,52.6500,0.0000,177692.10,396.71
168000,3173.9,234968.3,387268,485951,99.7500,98.8500,95.7500,88.0000,53.9000,0.0000,177422.51,396.10
170000,3221.3,232996.5,497944,484460,99.8000,98.8500,96.1500,87.4500,52.8000,0.0500,177352.11,398.39
172000,3257.7,235920.2,387548,484707,99.8000,98.8500,96.8500,88.4000,54.2000,0.0000,177532.56,396.14
174000,3293.8,238125.9,387404,485035,99.6000,99.0000,96.3500,89.7000,54.5000,0.0000,177248.72,398.03
176000,3328.8,236116.6,403860,485485,99.8000,98.9500,95.6000,88.4500,54.3000,0.0000,177215.45,398.51
178000,3364.1,237327.7,387064,485894,99.5000,98.5000,95.9500,88.6000,55.6500,0.0000,177370.11,396.04
180000,3399.2,235439.9,386828,486284,99.8000,98.9000,96.8500,88.7500,53.9500,0.0000,177893.49,393.93
182000,3435.1,236514.1,401936,486576,99.7500,98.8500,95.9500,88.7000,54.1000,0.0000,177633.07,395.67
184000,3470.4,233591.6,387296,486890,99.5500,98.7500,96.6000,88.4500,52.9500,0.0000,177780.95,397.69
186000,3506.3,235748.5,410744,487149,99.6500,98.5500,96.5000,89.2500,54.1500,0.0000,177566.75,398.35
188000,3542.6,236538.6,502992,487375,99.7500,98.7000,96.5000,88.6500,54.4500,0.0500,177640.27,395.08
190000,3580.2,233678.4,468896,487357,99.5000,98.6000,96.0500,89.0000,52.5500,0.0500,177759.60,396.62
192000,3617.9,236080.8,478096,487383,99.7500,98.7000,95.6500,88.4000,54.4500,0.0500,177826.24,394.66
194000,3654.5,235138.8,530908,487518,99.8000,98.6000,96.0000,88.5500,53.9500,0.0500,177686.39,399.01
196000,3691.5,236205.9,513012,487625,99.7000,98.7500,96.1500,88.7500,55.7500,0.0500,177965.30,395.23
198000,3728.0,237547.4,467752,487827,99.8500,99.0500,96.6000,88.9500,54.3000,0.0500,177338.27,398.77
200000,3764.1,233580.7,508652,487997,99.7000,99.2000,96.7000,88.3000,53.6000,0.0500,178043.19,397.64
