episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
2000,87.0,268362.2,529544,237651,99.7500,99.4000,97.3500,92.8000,68.9000,0.0500,212417.99,394.43,0,0,0
4000,173.3,265695.1,533816,237527,99.8000,99.4000,97.6000,92.7500,67.7500,0.1000,212804.53,394.89,0,0,0
6000,260.6,268295.7,574368,237313,99.9000,99.5000,98.1000,93.1000,68.9000,0.0500,212646.54,392.83,0,0,0
8000,346.3,266743.7,405868,237976,99.8000,99.2000,97.3000,92.8500,67.9500,0.0000,212566.33,393.77,0,0,0
10000,433.5,267788.8,497948,237724,99.7000,99.0000,97.1000,92.4500,68.4500,0.1000,212374.87,398.51,0,0,0
12000,520.5,268001.3,500888,237683,99.8000,99.3500,97.3000,92.0500,69.1500,0.0500,212579.10,393.69,0,0,0
14000,604.6,265600.7,529940,238500,99.8000,99.2000,97.4500,92.7500,67.5000,0.0500,212850.92,397.80,0,0,0
16000,691.4,270967.6,529344,238730,99.9000,99.6500,98.1000,93.8000,70.1000,0.0500,212592.34,394.93,0,0,0
18000,777.5,268481.7,426288,238918,99.9500,99.3000,97.3500,92.8000,69.1500,0.0000,212178.65,399.69,0,0,0
20000,860.6,265429.1,387072,239636,99.8000,99.3500,97.3500,92.7000,68.2000,0.0000,212999.54,398.71,0,0,0
22000,942.9,263178.5,470872,240259,100.0000,99.4000,97.3500,92.2000,66.4000,0.1000,213426.70,393.88,0,0,0
24000,1026.0,267131.1,387012,240846,99.8000,99.1000,97.1000,92.1500,69.2500,0.0000,212866.98,395.36,0,0,0
26000,1108.5,266416.2,386848,241440,99.8000,99.1000,96.9000,91.9500,69.4000,0.0000,213189.66,392.61,0,0,0
28000,1192.8,269096.8,388912,241777,99.5000,99.2500,97.3000,93.6000,68.9500,0.0000,212537.64,397.53,0,0,0
30000,1276.6,270825.5,555704,242227,99.8000,99.4500,98.3000,93.8500,69.9500,0.1500,212753.70,398.69,0,0,0
32000,1363.2,268887.9,585160,242034,99.7500,99.5000,97.8500,92.8000,68.8000,0.0500,212636.07,396.97,0,0,0
34000,1448.4,271465.6,488248,242229,99.8000,99.5500,97.9000,93.3500,70.6500,0.1000,212959.56,391.24,0,0,0
36000,1531.9,268720.5,533872,242538,99.8500,99.5000,97.5500,93.3000,69.3500,0.1500,213055.42,396.53,0,0,0
38000,1615.6,267650.1,463168,242741,99.9000,99.4000,97.3000,92.5500,68.6500,0.0500,213246.19,392.09,0,0,0
40000,1699.0,269176.1,564740,243026,99.8500,99.3500,97.7500,92.6500,70.3500,0.1500,213062.80,395.38,0,0,0
42000,1781.4,267114.8,522256,243339,99.9000,99.4500,97.9000,93.0500,68.4500,0.0500,213499.53,391.97,0,0,0
44000,1864.2,265181.4,387308,243510,99.9000,99.3000,97.4500,92.4000,67.3500,0.0000,213550.76,394.96,0,0,0
46000,1945.4,264482.2,529148,243840,99.7000,99.1500,96.9500,91.9000,66.8500,0.0500,213177.81,395.99,0,0,0
48000,2028.0,269532.1,479228,244135,99.8500,99.2500,97.4500,93.1000,69.6500,0.1500,212994.48,393.57,0,0,0
50000,2113.4,268676.9,388312,244066,99.9500,99.7000,98.0500,92.9000,69.7500,0.0000,213551.37,390.94,0,0,0
52000,2201.0,268055.7,521764,243736,99.9000,99.4500,97.9500,92.5000,68.8000,0.2000,213055.29,399.02,0,0,0
54000,2288.5,266256.4,471404,243383,100.0000,99.5500,97.2000,92.3500,67.8500,0.0500,213454.92,395.32,0,0,0
56000,2376.1,267185.1,509192,243085,99.9000,99.4000,97.8500,92.6500,68.5000,0.2000,213508.85,393.56,0,0,0
58000,2463.8,268649.5,388692,242833,99.5500,99.1000,97.4000,93.0500,69.1000,0.0000,213173.05,395.12,0,0,0
60000,2550.3,266774.6,469852,242658,99.6500,99.1500,97.6500,92.4500,68.6000,0.0000,213310.93,395.50,0,0,0
62000,2638.7,266772.1,524548,242322,99.7500,99.2000,97.3000,92.7000,68.2500,0.1000,213567.41,393.86,0,0,0
64000,2725.5,269315.0,387152,242212,99.8500,99.3000,97.6000,93.3500,69.5000,0.0000,212941.63,398.20,0,0,0
66000,2807.5,267508.5,533208,242479,100.0000,99.4000,98.1000,93.8500,68.7500,0.0500,213579.02,398.05,0,0,0
68000,2891.1,267762.7,531268,242614,99.8500,99.5000,97.8500,93.4500,67.2500,0.1500,213439.38,397.10,0,0,0
70000,2977.9,267676.5,519016,242467,99.7500,99.3500,97.7500,92.8000,68.4000,0.2500,213392.57,402.95,0,0,0
72000,3062.3,267415.4,392908,242515,99.7000,99.1000,97.5000,92.5000,68.2500,0.0000,213230.62,398.35,0,0,0
74000,3147.8,270905.0,531364,242556,99.9000,99.4500,97.7500,92.6500,69.6500,0.1500,212974.58,398.71,0,0,0
76000,3230.7,268230.4,478652,242725,99.6000,99.0500,97.0500,92.5500,70.0000,0.0500,213785.17,394.10,0,0,0
