episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
100000,443.9,57476.3,154004,443812,99.4000,90.9000,53.2000,2.8000,0.0000,0.0000,19395.46,190.48,0,0,0
102000,456.4,57825.0,178996,443781,99.5000,92.0000,52.1000,3.0500,0.0000,0.0000,19735.96,191.32,0,0,0
104000,469.1,58882.8,152468,443734,99.2000,90.6500,54.9000,3.0500,0.0000,0.0000,19981.05,192.48,0,0,0
106000,481.8,58135.2,165108,443616,99.3000,91.2500,52.6000,3.4000,0.0000,0.0000,20353.91,193.65,0,0,0
108000,494.7,60376.5,154540,443639,99.4500,91.4000,57.1500,3.2000,0.0000,0.0000,20593.52,193.79,0,0,0
110000,507.8,60172.8,160408,443494,99.4500,91.9000,55.6000,3.7500,0.0000,0.0000,20938.49,195.18,0,0,0
112000,520.6,60074.8,162752,443520,99.5000,90.4000,56.1000,4.6000,0.0000,0.0000,21245.72,196.34,0,0,0
114000,533.4,59785.3,177028,443523,99.6000,90.9000,55.4500,3.7000,0.0000,0.0000,21559.35,197.61,0,0,0
116000,546.4,62449.4,157592,443817,99.4500,93.6000,57.8500,5.2000,0.0000,0.0000,21741.65,197.64,0,0,0
118000,559.2,61757.8,168856,444105,99.4000,91.5500,57.8500,5.2000,0.0000,0.0000,22061.86,199.45,0,0,0
120000,571.9,62329.2,166896,444565,99.4500,91.8000,59.1000,4.4000,0.0000,0.0000,22373.43,199.82,0,0,0
122000,584.8,62381.8,162816,444862,99.4000,92.7000,59.1000,4.7000,0.0000,0.0000,22659.00,201.57,0,0,0
124000,597.6,62838.3,174036,445208,99.4000,93.1000,58.6000,5.7000,0.0000,0.0000,22957.51,202.14,0,0,0
126000,610.8,62900.1,156064,445327,99.4500,91.8500,59.2500,5.3500,0.0000,0.0000,23265.00,202.94,0,0,0
128000,624.2,63540.0,164020,445372,99.1500,92.2500,60.3500,5.1500,0.0000,0.0000,23541.29,203.14,0,0,0
130000,638.0,63862.8,167952,445209,99.4500,91.5000,59.9000,6.2500,0.0000,0.0000,23799.77,204.70,0,0,0
132000,652.2,65899.3,163064,444979,99.5500,93.3000,61.8000,7.7500,0.0000,0.0000,24018.39,205.96,0,0,0
134000,666.0,64969.3,165728,444930,99.3000,93.1500,60.5500,7.0500,0.0000,0.0000,24364.34,206.82,0,0,0
136000,679.7,63437.1,161952,444797,99.6500,93.1500,59.1500,6.0500,0.0000,0.0000,24724.58,207.70,0,0,0
138000,693.8,65323.1,178184,444596,99.7000,92.9500,61.2000,6.9000,0.0000,0.0000,24927.26,208.75,0,0,0
140000,707.6,65457.8,174896,444600,99.5000,93.5000,61.5500,7.9000,0.0000,0.0000,25148.63,211.55,0,0,0
142000,721.4,66497.1,190024,444741,99.6000,93.7500,62.3500,7.6000,0.0000,0.0000,25375.28,210.52,0,0,0
144000,735.4,67572.7,178864,444859,99.4500,93.9000,64.3000,8.4000,0.0000,0.0000,25616.23,212.05,0,0,0
