timestamp,source,games,mean,median,p05,p95,max,mean_moves,r2048,r4096,r8192,r16384,r32768,kept
2026-08-07T04:14:17+00:00,runs/r9_rst.bin,600,263707,289672,67396,376220,387392,10168,99.33,97.00,90.83,68.83,0.00,1
2026-08-07T04:36:25+00:00,runs/r9_rst.bin,600,263012,289308,80244,376356,387336,10156,99.50,97.83,92.67,66.33,0.00,0
2026-08-07T04:55:35+00:00,runs/r9_rst.bin,600,267019,289828,80380,376660,387364,10303,99.33,97.33,93.50,68.17,0.00,1
2026-08-07T05:14:40+00:00,runs/r9_rst.bin,600,256925,287344,71356,377152,384368,9943,99.83,96.67,91.17,64.17,0.00,0
2026-08-07T05:33:43+00:00,runs/r9_rst.bin,600,256219,288496,75632,374040,386328,9898,99.33,97.33,91.00,65.50,0.00,0
2026-08-07T05:55:59+00:00,runs/r9_rst.bin,600,267539,290608,78188,378096,533184,10305,99.00,97.50,92.50,68.17,0.33,1
2026-08-07T06:15:05+00:00,runs/r9_rst.bin,600,263665,289936,76068,376564,500960,10157,99.00,97.33,91.67,67.17,0.17,0
2026-08-07T06:34:17+00:00,runs/r9_rst.bin,600,266694,290128,80096,375252,384908,10279,99.67,98.00,93.00,69.33,0.00,0
2026-08-07T06:56:23+00:00,runs/r9_rst.bin,600,256649,288016,77132,376220,383340,9935,99.50,97.17,91.00,63.50,0.00,0
2026-08-07T07:15:33+00:00,runs/r9_rst.bin,600,264699,289636,77596,371820,385544,10196,99.50,97.33,92.83,69.33,0.00,0
2026-08-07T07:34:37+00:00,runs/r9_rst.bin,600,256965,286772,66884,372736,385284,9929,98.67,96.33,91.17,65.17,0.00,0
2026-08-07T07:53:38+00:00,runs/r9_rst.bin,600,259655,288376,69672,376656,579812,10024,98.67,97.33,91.83,65.67,0.17,0
