episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error,restart_episodes,restart_32k,pool_size
98000,9414.0,285972.9,534376,114412,99.7000,99.5000,97.9000,94.4500,75.4000,0.1000,223880.53,368.38,0,0,0
100000,9604.2,289229.2,527480,114455,99.9000,99.4000,97.8000,95.1000,76.4000,0.1000,223636.56,362.13,0,0,0
102000,9793.6,289307.4,530740,114507,99.9000,99.4500,97.7000,94.8000,76.3500,0.1500,223395.06,365.38,0,0,0
104000,9986.1,289701.0,593008,114525,99.9000,99.4000,98.2000,95.3500,76.3500,0.2000,223753.80,364.13,0,0,0
106000,10180.7,288297.0,565940,114507,99.8000,99.5500,98.1000,94.9000,75.9000,0.3500,223661.82,365.74,0,0,0
108000,10379.3,291431.4,609636,114470,99.7500,99.3000,98.1500,94.6000,76.1500,0.4000,223118.88,365.04,0,0,0
110000,10568.0,287897.6,553508,114515,99.9500,99.5500,97.7500,94.1000,76.0000,0.1500,223747.19,366.62,0,0,0
112000,10755.5,285879.1,534568,114559,99.8500,99.3000,98.2000,94.6000,74.9000,0.2000,224147.98,366.78,0,0,0
114000,10945.5,285665.8,557056,114574,99.7000,99.2000,97.7000,93.5000,75.1000,0.1000,223792.26,366.29,0,0,0
116000,11133.0,286185.2,536068,114618,99.8000,99.3500,98.0500,94.4000,74.7500,0.2500,224150.33,364.66,0,0,0
118000,11321.1,288120.2,600252,114667,99.8000,99.4500,98.0000,94.9500,75.5000,0.3000,224085.11,364.95,0,0,0
120000,11513.3,289190.5,564828,114681,99.9500,99.6000,98.3000,94.1500,75.9500,0.2500,223124.36,372.83,0,0,0
122000,11701.8,287621.9,557536,114718,99.8500,99.5500,98.0500,94.8000,75.9000,0.1500,224201.22,363.06,0,0,0
124000,11892.3,288264.4,535268,114741,99.9000,99.4000,98.5500,95.5000,75.9500,0.1500,224436.92,361.75,0,0,0
126000,12079.4,287019.4,534680,114789,99.8000,99.4500,98.1500,95.0000,74.9000,0.2000,224306.26,362.52,0,0,0
128000,12270.3,286574.0,513216,114795,99.8500,99.2000,97.8000,94.4000,75.4500,0.1500,223931.94,368.93,0,0,0
130000,12459.0,286473.0,532664,114822,99.9000,99.5500,98.1500,94.6000,74.5500,0.3000,224268.86,364.06,0,0,0
132000,12648.0,288354.8,477304,114856,100.0000,99.4500,98.5000,94.4000,76.0000,0.0500,223837.71,366.81,0,0,0
134000,12837.1,287598.0,532604,114882,99.9000,99.6000,98.2000,94.9000,76.2500,0.0500,224495.62,362.67,0,0,0
136000,13028.2,283960.7,551960,114871,99.8500,99.4000,97.8500,93.9000,74.3500,0.2500,224492.73,366.15,0,0,0
138000,13215.5,284760.8,512848,114898,99.9500,99.7500,98.1500,95.3000,74.4500,0.0500,224944.15,361.57,0,0,0
140000,13407.4,288707.7,533468,114905,99.8000,99.5000,98.3000,94.9000,76.3000,0.1000,224147.63,364.93,0,0,0
142000,13601.6,287596.9,513544,114888,99.9000,99.7000,98.3500,95.0000,75.5000,0.2500,224578.12,361.66,0,0,0
144000,13795.4,288724.2,532436,114879,99.8000,99.3000,98.0000,94.5500,76.2500,0.1000,224137.41,364.11,0,0,0
146000,13987.9,287931.5,553072,114877,100.0000,99.7000,98.2500,94.5500,76.0500,0.2000,224321.74,364.59,0,0,0
148000,14183.3,291884.0,532732,114871,99.8000,99.5000,98.5000,94.9500,78.1000,0.2000,223931.58,365.21,0,0,0
150000,14376.4,289471.0,487596,114873,99.9000,99.4500,98.3500,95.0500,77.2000,0.1000,224245.60,366.34,0,0,0
152000,14569.3,287332.3,450480,114864,99.6000,99.3500,98.0000,94.6500,76.0000,0.0000,224585.25,364.36,0,0,0
154000,14760.4,284497.9,528184,114857,99.8500,99.3000,97.9500,93.6500,75.2500,0.1000,224824.11,362.89,0,0,0
156000,14954.7,290268.1,533240,114853,100.0000,99.5500,98.5500,95.3500,77.4000,0.0500,224306.69,363.54,0,0,0
158000,15145.7,285263.3,551672,114850,99.8500,99.3500,97.7000,93.7000,75.4500,0.1500,224772.56,363.33,0,0,0
160000,15344.1,290086.6,513344,114814,99.9000,99.5500,98.4000,95.2500,77.4500,0.1000,224347.66,364.14,0,0,0
