episodes,elapsed_s,mean_score,max_score,moves_per_s,r1024,r2048,r4096,r8192,r16384,r32768,mean_value,mean_abs_td_error
20000,4.7,2444.2,12288,875716,0.0350,0.0000,0.0000,0.0000,0.0000,0.0000,4140.91,1278.96
40000,10.5,3443.6,15224,892510,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,2482.64,439.97
60000,17.6,4341.3,16512,893383,4.1450,0.0000,0.0000,0.0000,0.0000,0.0000,2267.09,315.42
80000,25.6,5366.2,25892,902248,11.0700,0.0150,0.0000,0.0000,0.0000,0.0000,2239.23,243.71
100000,35.1,6725.4,34196,908216,23.9200,0.1600,0.0000,0.0000,0.0000,0.0000,2350.28,197.50
120000,46.4,8209.9,32548,910851,38.5050,1.0900,0.0000,0.0000,0.0000,0.0000,2601.53,165.08
140000,59.4,10151.7,34180,917462,53.6400,3.9750,0.0000,0.0000,0.0000,0.0000,2971.42,142.61
160000,73.6,11782.2,36080,927975,63.6400,8.9300,0.0000,0.0000,0.0000,0.0000,3519.39,130.45
180000,89.1,13120.4,36776,935983,69.6850,14.3150,0.0000,0.0000,0.0000,0.0000,4262.78,125.75
200000,105.4,14194.3,49600,943609,71.5850,20.7900,0.0050,0.0000,0.0000,0.0000,5352.00,125.37
220000,123.5,15852.7,58556,947914,76.1800,27.8300,0.0400,0.0000,0.0000,0.0000,6378.65,130.24
240000,142.6,17414.2,50860,955004,78.6800,35.4700,0.0750,0.0000,0.0000,0.0000,7425.60,135.37
260000,162.9,18783.1,56168,960179,79.3600,42.5500,0.1300,0.0000,0.0000,0.0000,8581.32,141.39
