score,max_tile,moves
383620,16384,14747
289736,16384,11112
366488,16384,13930
341164,16384,12927
376628,16384,14327
377324,16384,14346
382640,16384,14598
367232,16384,13978
382800,16384,14600
381552,16384,14544
381744,16384,14582
358896,16384,13562
384848,16384,14786
340828,16384,12902
366208,16384,13894
385248,16384,14764
367148,16384,13963
387112,16384,14882
289140,16384,11115
333876,16384,12544
245556,16384,9271
339224,16384,12853
339268,16384,12821
382616,16384,14617
381264,16384,14521
533112,32768,18594
375548,16384,14270
367276,16384,13994
340504,16384,12858
382472,16384,14633
333808,16384,12539
385256,16384,14759
377644,16384,14405
377672,16384,14383
387456,16384,14942
342636,16384,13003
386296,16384,14798
386828,16384,14909
384440,16384,14676
366940,16384,13931
381508,16384,14491
332864,16384,12479
385484,16384,14809
372328,16384,14065
175524,8192,7331
378076,16384,14390
334088,16384,12599
342292,16384,12997
383436,16384,14673
383472,16384,14719
363104,16384,13751
387128,16384,14863
382340,16384,14565
384416,16384,14680
367196,16384,13941
342480,16384,13026
176016,8192,7384
342464,16384,13018
383248,16384,14654
338572,16384,12813
342164,16384,12964
366672,16384,13950
335892,16384,12739
382384,16384,14590
381104,16384,14488
342136,16384,12988
362820,16384,13755
387024,16384,14838
322916,16384,12120
378188,16384,14413
488724,32768,16703
333592,16384,12518
343404,16384,13065
358404,16384,13551
372804,16384,14134
332020,16384,12453
382392,16384,14586
377328,16384,14367
386048,16384,14779
339020,16384,12812
381424,16384,14552
583940,32768,20309
342692,16384,13076
357420,16384,13446
378268,16384,14449
385192,16384,14748
342960,16384,13034
377656,16384,14409
382900,16384,14620
342216,16384,12961
330676,16384,12476
177104,8192,7443
342104,16384,12993
381540,16384,14552
326828,16384,12325
343140,16384,13097
366308,16384,13886
382984,16384,14598
378024,16384,14397
375700,16384,14228
382944,16384,14640
342632,16384,13000
353432,16384,13218
338968,16384,12789
342312,16384,12996
384388,16384,14740
385236,16384,14752
383092,16384,14655
366956,16384,13946
382688,16384,14629
378384,16384,14471
387400,16384,14928
341308,16384,12931
363168,16384,13734
242124,16384,9082
382544,16384,14612
362224,16384,13670
376724,16384,14356
366100,16384,13845
385108,16384,14804
383448,16384,14697
385664,16384,14821
175820,8192,7356
343028,16384,13039
384632,16384,14668
290360,16384,11209
382476,16384,14594
386916,16384,14851
383232,16384,14649
378928,16384,14473
382440,16384,14589
382768,16384,14641
386168,16384,14815
290220,16384,11149
377564,16384,14359
337592,16384,12732
386084,16384,14760
381724,16384,14550
132924,8192,5582
386252,16384,14791
383324,16384,14683
367176,16384,13973
334012,16384,12639
378328,16384,14448
367004,16384,13958
333932,16384,12570
363092,16384,13699
381832,16384,14592
385324,16384,14761
342952,16384,13034
365320,16384,13825
377748,16384,14352
288200,16384,11037
384840,16384,14738
342976,16384,13016
382068,16384,14572
382608,16384,14622
286564,16384,10967
376728,16384,14364
386736,16384,14807
342236,16384,12974
385492,16384,14788
177180,8192,7429
342256,16384,12983
381684,16384,14584
366564,16384,13926
366360,16384,13889
342464,16384,13027
177196,8192,7434
631064,32768,22417
284804,16384,10850
382396,16384,14575
287200,16384,10995
384628,16384,14715
341704,16384,13020
566408,32768,19589
376560,16384,14331
377204,16384,14312
376504,16384,14318
342940,16384,13030
378340,16384,14456
380444,16384,14434
333152,16384,12495
290596,16384,11207
608180,32768,21327
383168,16384,14660
342652,16384,12985
173472,8192,7222
383540,16384,14732
290496,16384,11183
382888,16384,14661
357144,16384,13440
338212,16384,12746
177388,8192,7482
387068,16384,14845
384568,16384,14713
382056,16384,14615
341240,16384,12936
365044,16384,13883
383936,16384,14723
383368,16384,14693
333484,16384,12517
380860,16384,14491
381416,16384,14523
342892,16384,13018
378276,16384,14382
364320,16384,13700
366300,16384,13878
385508,16384,14776
381588,16384,14555
374268,16384,14172
323056,16384,12107
381272,16384,14534
377916,16384,14429
338972,16384,12806
364200,16384,13860
385636,16384,14839
363084,16384,13754
329284,16384,12301
383332,16384,14663
378260,16384,14436
377924,16384,14432
375752,16384,14256
367388,16384,14017
357684,16384,13516
387220,16384,14936
342888,16384,13032
386452,16384,14837
387264,16384,14899
378060,16384,14431
381012,16384,14545
383260,16384,14659
383240,16384,14669
341988,16384,12936
385768,16384,14792
383420,16384,14706
333848,16384,12544
173112,8192,7209
330348,16384,12377
384884,16384,14743
383188,16384,14645
366296,16384,13873
343844,16384,13127
384804,16384,14739
383364,16384,14671
290612,16384,11211
506080,32768,17382
382532,16384,14614
342864,16384,13074
378148,16384,14390
382940,16384,14627
341560,16384,12945
383408,16384,14683
366624,16384,13943
382600,16384,14624
133052,8192,5613
342952,16384,13033
378596,16384,14503
366300,16384,13869
367176,16384,13937
384172,16384,14766
385652,16384,14810
358132,16384,13479
381288,16384,14529
386976,16384,14892
342432,16384,13014
385544,16384,14774
288224,16384,10996
582656,32768,20356
384896,16384,14752
385584,16384,14799
387208,16384,14885
286228,16384,10917
385732,16384,14848
172732,8192,7213
387000,16384,14892
386592,16384,14867
366220,16384,13858
383500,16384,14705
385148,16384,14698
286480,16384,10948
322796,16384,12091
533100,32768,18623
377540,16384,14396
384548,16384,14706
628216,32768,22222
381732,16384,14573
375940,16384,14288
382900,16384,14615
381404,16384,14529
387256,16384,14909
133048,8192,5608
358384,16384,13559
378972,16384,14485
290664,16384,11225
377732,16384,14431
342768,16384,12987
363444,16384,13755
367656,16384,13960
337432,16384,12695
385344,16384,14734
175336,8192,7334
381460,16384,14564
333704,16384,12530
381208,16384,14518
342172,16384,12998
341972,16384,12959
289908,16384,11119
342196,16384,12972
382652,16384,14586
175568,8192,7330
342032,16384,12943
367032,16384,13931
377340,16384,14399
362492,16384,13724
334688,16384,13018
292372,16384,11252
368040,16384,13992
383800,16384,14713
384200,16384,14767
344684,16384,13093
380560,16384,14542
383484,16384,14664
366436,16384,13924
