score,max_tile,moves
260868,16384,9772
357844,16384,13472
364864,16384,13826
345900,16384,13190
329328,16384,12296
384384,16384,14668
284636,16384,10807
175448,8192,7318
381256,16384,14514
341564,16384,13005
379220,16384,14467
381448,16384,14531
382936,16384,14601
384876,16384,14699
383024,16384,14671
358412,16384,13517
338864,16384,12785
133024,8192,5607
342880,16384,13019
342408,16384,13008
381732,16384,14587
177280,8192,7460
340528,16384,12854
385200,16384,14712
339020,16384,12813
381520,16384,14536
385748,16384,14791
342168,16384,12983
366984,16384,13969
383024,16384,14655
339120,16384,12828
357580,16384,13485
377168,16384,14339
168496,8192,7004
364288,16384,13696
334176,16384,12614
385512,16384,14766
381424,16384,14555
386976,16384,14870
385484,16384,14787
385564,16384,14818
333868,16384,12538
335572,16384,12671
368780,16384,14037
380108,16384,14385
173984,8192,7270
381140,16384,14533
377572,16384,14387
333212,16384,12517
279920,16384,10647
386444,16384,14855
290500,16384,11183
127012,8192,5232
342292,16384,12979
374160,16384,14193
364408,16384,13737
383352,16384,14684
270464,16384,10271
362964,16384,13711
383152,16384,14648
333528,16384,12510
157072,8192,6504
387376,16384,14933
377732,16384,14415
381760,16384,14559
342852,16384,13003
318288,16384,11939
286124,16384,10950
342608,16384,13054
382532,16384,14607
363000,16384,13676
381632,16384,14558
290392,16384,11156
378132,16384,14421
173320,8192,7219
371092,16384,14228
382552,16384,14597
366776,16384,13933
366216,16384,13894
367000,16384,13946
377460,16384,14364
175936,8192,7356
367268,16384,13961
382820,16384,14612
342896,16384,13024
382452,16384,14587
362896,16384,13716
339328,16384,12846
333704,16384,12525
339420,16384,12897
343012,16384,13044
343036,16384,13022
339216,16384,12852
374336,16384,14210
340000,16384,12870
290560,16384,11198
324592,16384,12220
242584,16384,9132
322828,16384,12078
288748,16384,11049
246124,16384,9307
386300,16384,14831
177016,8192,7438
342580,16384,13004
385560,16384,14806
382884,16384,14567
383420,16384,14665
387428,16384,14935
385568,16384,14791
342212,16384,12977
366848,16384,13935
384644,16384,14705
381528,16384,14551
327108,16384,12351
585548,32768,20477
381672,16384,14581
374104,16384,14165
177604,8192,7492
380760,16384,14494
383884,16384,14694
383120,16384,14626
290216,16384,11161
280016,16384,10639
342576,16384,12970
387068,16384,14860
380312,16384,14497
382320,16384,14603
322784,16384,12098
319104,16384,11919
358384,16384,13546
342500,16384,13038
341536,16384,12988
339088,16384,12819
375904,16384,14295
381604,16384,14572
358440,16384,13540
313944,16384,11653
382328,16384,14557
366404,16384,13904
353808,16384,13184
374324,16384,14221
290384,16384,11155
381620,16384,14536
376600,16384,14335
337108,16384,12724
386452,16384,14824
382152,16384,14693
334140,16384,12622
378124,16384,14413
382584,16384,14637
384704,16384,14703
364940,16384,13853
375732,16384,14265
362564,16384,13703
287920,16384,10992
376156,16384,14257
386540,16384,14841
67412,4096,3020
298240,16384,11439
290644,16384,11220
366952,16384,13913
362048,16384,13679
382312,16384,14570
367128,16384,13961
365944,16384,13837
381568,16384,14559
378044,16384,14449
383252,16384,14687
381840,16384,14583
337428,16384,12714
361144,16384,13593
172968,8192,7202
176900,8192,7409
365032,16384,13785
363476,16384,13759
286448,16384,10939
381660,16384,14559
343024,16384,13019
367292,16384,13949
269988,16384,10200
284712,16384,10827
288228,16384,11027
279492,16384,10593
383404,16384,14698
340700,16384,12902
373376,16384,14144
383052,16384,14669
384996,16384,14696
384892,16384,14762
358804,16384,13540
343012,16384,13004
132780,8192,5573
378328,16384,14432
386024,16384,14763
323076,16384,12116
362476,16384,13685
342260,16384,12988
363200,16384,13743
341184,16384,12938
363296,16384,13762
342212,16384,12975
384508,16384,14704
365660,16384,13848
340836,16384,12935
385492,16384,14772
329924,16384,12353
383228,16384,14670
363964,16384,13822
285800,16384,10889
343144,16384,13081
384952,16384,14697
378160,16384,14416
289876,16384,11214
383216,16384,14656
